Screen,Object type,Name,Device,Action,Role required,Notes
B-1500,Numeric input,Chatter window,D4103,"write, range checked",MAINT,5 - 60
B-1500,Numeric input,Heater minimum ON,D4104,"write, range checked",MAINT,5 - 120
B-1500,Numeric input,Heater minimum OFF,D4105,"write, range checked",MAINT,5 - 120
B-1500,Numeric input,Manual test timeout,D4106,"write, range checked",MAINT,60 - 900
B-1500,Numeric input,Auto-logout,D4107,"write, range checked",MAINT,60 - 900
B-1500,Numeric input,Cure time,D4108,"write, range checked",MAINT,fixed at 2 h
B-1500,Switch,Cure timers pause on a fault,M4021,alternate,MAINT,latched option bit
B-1500,Switch,Heater requires airflow,M4020,alternate,MAINT,latched option bit
B-1500,Numeric input,Maintenance passcode,D4110,"write, masked",MAINT,
B-1500,Numeric input,Quality passcode,D4111,"write, masked",QUALITY,changed under the quality login only
B-1500,Switch,Nav HOME,-,screen -> B-1000,-,
B-1500,Switch,Nav SLOTS,-,screen -> B-1100,-,
B-1500,Switch,Nav COUNTERS,-,screen -> B-1200,-,
B-1500,Switch,Nav ALARMS,-,screen -> B-1300,-,
B-1500,Switch,Nav HISTORY,-,screen -> B-1900,-,
B-1500,Switch,Nav LOGIN,-,screen -> B-1600,-,
B-1600,Header,Role indicator,D28,word lamp 0/1/2,-,"0 none, 1 maintenance, 2 quality"
B-1600,Header,Clock,GOT RTC,date+time display,-,
B-1600,Numeric input,Passcode entry,D27,"write, masked, 4 digits",-,"gHmiPasscodeEntry, cleared by the PLC after every attempt"
B-1600,Switch,Keypad 0-9 / CLR / DEL,D27,GOT keypad,-,
B-1600,Switch,Login maintenance,M829,"write D27 then set M829, ONE touch action",-,gHmiMaintLoginReq
B-1600,Switch,Login quality,M835,"write D27 then set M835, ONE touch action",-,gHmiQualityLoginReq
B-1600,Numeric,Lockout remaining,D26,"display, s",-,gLockoutAcc
B-1600,Lamp,Locked out,M61,"bit lamp, shows this panel",-,gLockoutActive
B-1600,Switch,Log out,M830,momentary set,-,gHmiLogout
B-1600,Switch,Nav HOME,-,screen -> B-1000,-,
B-1600,Switch,Nav SLOTS,-,screen -> B-1100,-,
B-1600,Switch,Nav COUNTERS,-,screen -> B-1200,-,
B-1600,Switch,Nav ALARMS,-,screen -> B-1300,-,
B-1600,Switch,Nav HISTORY,-,screen -> B-1900,-,
B-1600,Switch,Nav LOGIN,-,screen -> B-1600,-,
B-1700,Header,Role indicator,D28,word lamp 0/1/2,-,"0 none, 1 maintenance, 2 quality"
B-1700,Header,Clock,GOT RTC,date+time display,-,
B-1700,Switch,Slot 1-6 early reset,M810-M815,"momentary set, confirm dialogue first",MAINT,same bit as the normal reset; the PLC decides which rule applies
B-1700,Numeric,Slot elapsed / remaining,D40-D63,display,MAINT,
B-1700,Switch,Nav HOME,-,screen -> B-1000,-,
B-1700,Switch,Nav SLOTS,-,screen -> B-1100,-,
B-1700,Switch,Nav COUNTERS,-,screen -> B-1200,-,
B-1700,Switch,Nav ALARMS,-,screen -> B-1300,-,
B-1700,Switch,Nav HISTORY,-,screen -> B-1900,-,
B-1700,Switch,Nav LOGIN,-,screen -> B-1600,-,
B-1800,Header,Role indicator,D28,word lamp 0/1/2,-,"0 none, 1 maintenance, 2 quality"
B-1800,Header,Clock,GOT RTC,date+time display,-,
B-1800,Switch,Reset door counters,M825,"momentary set, confirm dialogue first",QUALITY,gHmiResetDoorCnt
B-1800,Switch,Reset lot counters,M826,"momentary set, confirm dialogue first",QUALITY,gHmiResetLotCnt
B-1800,Switch,Nav HOME,-,screen -> B-1000,-,
B-1800,Switch,Nav SLOTS,-,screen -> B-1100,-,
B-1800,Switch,Nav COUNTERS,-,screen -> B-1200,-,
B-1800,Switch,Nav ALARMS,-,screen -> B-1300,-,
B-1800,Switch,Nav HISTORY,-,screen -> B-1900,-,
B-1800,Switch,Nav LOGIN,-,screen -> B-1600,-,
B-1900,Header,Role indicator,D28,word lamp 0/1/2,-,"0 none, 1 maintenance, 2 quality"
B-1900,Header,Clock,GOT RTC,date+time display,-,
B-1900,Alarm history,Event log view,SD card,GOT alarm history + FX5U logging CSV,-,see docs/event-codes.md
B-1900,Switch,USB export,GOT alarm history,GT Designer3 alarm history CSV output to USB,-,exports the GOT's own history; the 7 day event log lives on the PLC SD card
B-1900,Switch,Nav HOME,-,screen -> B-1000,-,
B-1900,Switch,Nav SLOTS,-,screen -> B-1100,-,
B-1900,Switch,Nav COUNTERS,-,screen -> B-1200,-,
B-1900,Switch,Nav ALARMS,-,screen -> B-1300,-,
B-1900,Switch,Nav HISTORY,-,screen -> B-1900,-,
B-1900,Switch,Nav LOGIN,-,screen -> B-1600,-,
