Response_ID,Submitted_DateTime,WO_No,Machine_ID,Cell_ID,Checklist_ID,Item_No,Check_Point,Result,Measured_Value,Observation,Photo_Link,Action_Taken,Tech_ID,Follow_Up_Required,Follow_Up_WO
CR-90058,2025-09-30T10:24:00,WO-1003,MC-03-010,CELL-03,CL-GEN,4,Lubrication as per chart,NOT OK,,"Deviation observed, corrected on the spot",https://epqpl.sharepoint.com/sites/Maintenance/PM_Photos/MC-03-010_4.jpg,Adjusted and re-verified,TECH-04,Yes,
CR-90059,2025-09-30T10:24:00,WO-1003,MC-03-010,CELL-03,CL-GEN,5,Electrical panel inspection,OK,,Within standard,,No action,TECH-04,No,
CR-90060,2025-09-30T10:24:00,WO-1003,MC-03-010,CELL-03,CL-GEN,6,Abnormal noise / vibration,OK,,Within standard,,No action,TECH-04,No,
CR-90061,2025-09-30T09:52:00,WO-1003,MC-03-011,CELL-03,CL-PRESS,1,Slide / ram guideway lubrication,OK,,Within standard,,No action,TECH-04,No,
CR-90062,2025-09-30T09:52:00,WO-1003,MC-03-011,CELL-03,CL-PRESS,2,Clutch & brake air pressure,OK,27.8,Within standard,,No action,TECH-04,No,
CR-90063,2025-09-30T09:52:00,WO-1003,MC-03-011,CELL-03,CL-PRESS,3,Die clamping bolt torque,OK,20.9,Within standard,,No action,TECH-04,No,
CR-90064,2025-09-30T09:52:00,WO-1003,MC-03-011,CELL-03,CL-PRESS,4,Safety light curtain function,OK,,Within standard,,No action,TECH-04,No,
CR-90065,2025-09-30T09:52:00,WO-1003,MC-03-011,CELL-03,CL-PRESS,5,Flywheel bearing temperature,OK,52.9,Within standard,,No action,TECH-04,No,
CR-90066,2025-09-30T09:52:00,WO-1003,MC-03-011,CELL-03,CL-PRESS,6,Oil level in gearbox,OK,,Within standard,,No action,TECH-04,No,
CR-90067,2025-09-30T09:52:00,WO-1003,MC-03-011,CELL-03,CL-PRESS,7,Air line FRL water drain,OK,,Within standard,,No action,TECH-04,No,
CR-90068,2025-09-30T09:52:00,WO-1003,MC-03-011,CELL-03,CL-PRESS,8,Emergency stop function,OK,,Within standard,,No action,TECH-04,No,
CR-90069,2025-09-30T13:09:00,WO-1003,MC-03-012,CELL-03,CL-TEST,1,Calibration validity,OK,,Within standard,,No action,TECH-03,No,
CR-90070,2025-09-30T13:09:00,WO-1003,MC-03-012,CELL-03,CL-TEST,2,Test lead / probe condition,OK,,Within standard,,No action,TECH-03,No,
CR-90071,2025-09-30T13:09:00,WO-1003,MC-03-012,CELL-03,CL-TEST,3,Reference standard verification,OK,28.7,Within standard,,No action,TECH-03,No,
CR-90072,2025-09-30T13:09:00,WO-1003,MC-03-012,CELL-03,CL-TEST,4,Earthing of test bench,OK,45.2,Within standard,,No action,TECH-03,No,
CR-90073,2025-09-30T13:09:00,WO-1003,MC-03-012,CELL-03,CL-TEST,5,Interlock and guard function,OK,,Within standard,,No action,TECH-03,No,
CR-90074,2025-10-03T09:30:00,WO-1004,MC-04-013,CELL-04,CL-FILL,1,Vibrator motor mounting bolts,OK,,Within standard,,No action,TECH-02,No,
CR-90075,2025-10-03T09:30:00,WO-1004,MC-04-013,CELL-04,CL-FILL,2,Sand hopper level sensor,OK,,Within standard,,No action,TECH-02,No,
CR-90076,2025-10-03T09:30:00,WO-1004,MC-04-013,CELL-04,CL-FILL,3,Filling nozzle wear,OK,28.4,Within standard,,No action,TECH-02,No,
CR-90077,2025-10-03T09:30:00,WO-1004,MC-04-013,CELL-04,CL-FILL,4,Compaction cycle time,OK,16.1,Within standard,,No action,TECH-02,No,
CR-90078,2025-10-03T09:30:00,WO-1004,MC-04-013,CELL-04,CL-FILL,5,Dust extraction suction,OK,22.8,Within standard,,No action,TECH-02,No,
CR-90079,2025-10-03T09:30:00,WO-1004,MC-04-013,CELL-04,CL-FILL,6,Conveyor belt tracking,OK,,Within standard,,No action,TECH-02,No,
CR-90080,2025-10-03T09:30:00,WO-1004,MC-04-013,CELL-04,CL-FILL,7,PLC battery status,OK,,Within standard,,No action,TECH-02,No,
CR-90081,2025-10-03T10:48:00,WO-1004,MC-04-014,CELL-04,CL-FILL,1,Vibrator motor mounting bolts,OK,,Within standard,,No action,TECH-05,No,
CR-90082,2025-10-03T10:48:00,WO-1004,MC-04-014,CELL-04,CL-FILL,2,Sand hopper level sensor,NOT OK,,"Deviation observed, corrected on the spot",https://epqpl.sharepoint.com/sites/Maintenance/PM_Photos/MC-04-014_2.jpg,Adjusted and re-verified,TECH-05,No,
CR-90083,2025-10-03T10:48:00,WO-1004,MC-04-014,CELL-04,CL-FILL,3,Filling nozzle wear,OK,7.4,Within standard,,No action,TECH-05,No,
CR-90084,2025-10-03T10:48:00,WO-1004,MC-04-014,CELL-04,CL-FILL,4,Compaction cycle time,OK,2.5,Within standard,,No action,TECH-05,No,
CR-90085,2025-10-03T10:48:00,WO-1004,MC-04-014,CELL-04,CL-FILL,5,Dust extraction suction,OK,19.4,Within standard,,No action,TECH-05,No,
CR-90086,2025-10-03T10:48:00,WO-1004,MC-04-014,CELL-04,CL-FILL,6,Conveyor belt tracking,OK,,Within standard,,No action,TECH-05,No,
CR-90087,2025-10-03T10:48:00,WO-1004,MC-04-014,CELL-04,CL-FILL,7,PLC battery status,OK,,Within standard,,No action,TECH-05,No,
CR-90088,2025-10-03T10:49:00,WO-1004,MC-04-015,CELL-04,CL-OVEN,1,Door gasket condition,OK,,Within standard,,No action,TECH-06,No,
CR-90089,2025-10-03T10:49:00,WO-1004,MC-04-015,CELL-04,CL-OVEN,2,Steam trap operation,NOT OK,,"Deviation observed, corrected on the spot",https://epqpl.sharepoint.com/sites/Maintenance/PM_Photos/MC-04-015_2.jpg,Adjusted and re-verified,TECH-06,Yes,
CR-90090,2025-10-03T10:49:00,WO-1004,MC-04-015,CELL-04,CL-OVEN,3,Temperature sensor calibration,OK,46.6,Within standard,,No action,TECH-06,No,
CR-90091,2025-10-03T10:49:00,WO-1004,MC-04-015,CELL-04,CL-OVEN,4,Safety relief valve test,OK,,Within standard,,No action,TECH-06,No,
CR-90092,2025-10-03T10:49:00,WO-1004,MC-04-015,CELL-04,CL-OVEN,5,Insulation surface temperature,NOT OK,51.2,"Deviation observed, corrected on the spot",https://epqpl.sharepoint.com/sites/Maintenance/PM_Photos/MC-04-015_5.jpg,Adjusted and re-verified,TECH-06,No,
CR-90093,2025-10-03T10:49:00,WO-1004,MC-04-015,CELL-04,CL-OVEN,6,Condensate drain line,OK,,Within standard,,No action,TECH-06,No,
CR-90094,2025-10-03T12:37:00,WO-1004,MC-04-016,CELL-04,CL-UTIL,1,Motor current draw,OK,40,Within standard,,No action,TECH-01,No,
CR-90095,2025-10-03T12:37:00,WO-1004,MC-04-016,CELL-04,CL-UTIL,2,Vibration level at bearing,OK,5.1,Within standard,,No action,TECH-01,No,
CR-90096,2025-10-03T12:37:00,WO-1004,MC-04-016,CELL-04,CL-UTIL,3,Coupling / belt condition,OK,,Within standard,,No action,TECH-01,No,
CR-90097,2025-10-03T12:37:00,WO-1004,MC-04-016,CELL-04,CL-UTIL,4,Panel cleanliness and glands,NOT OK,,"Deviation observed, corrected on the spot",https://epqpl.sharepoint.com/sites/Maintenance/PM_Photos/MC-04-016_4.jpg,Adjusted and re-verified,TECH-01,No,
CR-90098,2025-10-03T12:37:00,WO-1004,MC-04-016,CELL-04,CL-UTIL,5,Leak check on all joints,OK,,Within standard,,No action,TECH-01,No,
CR-90099,2025-10-16T09:10:00,WO-1005,MC-05-017,CELL-05,CL-OVEN,1,Door gasket condition,OK,,Within standard,,No action,TECH-06,No,
CR-90100,2025-10-16T09:10:00,WO-1005,MC-05-017,CELL-05,CL-OVEN,2,Steam trap operation,OK,,Within standard,,No action,TECH-06,No,
CR-90101,2025-10-16T09:10:00,WO-1005,MC-05-017,CELL-05,CL-OVEN,3,Temperature sensor calibration,OK,28.4,Within standard,,No action,TECH-06,No,
CR-90102,2025-10-16T09:10:00,WO-1005,MC-05-017,CELL-05,CL-OVEN,4,Safety relief valve test,NOT OK,,"Deviation observed, corrected on the spot",https://epqpl.sharepoint.com/sites/Maintenance/PM_Photos/MC-05-017_4.jpg,Adjusted and re-verified,TECH-06,No,
CR-90103,2025-10-16T09:10:00,WO-1005,MC-05-017,CELL-05,CL-OVEN,5,Insulation surface temperature,OK,36,Within standard,,No action,TECH-06,No,
CR-90104,2025-10-16T09:10:00,WO-1005,MC-05-017,CELL-05,CL-OVEN,6,Condensate drain line,OK,,Within standard,,No action,TECH-06,No,
CR-90105,2025-10-16T10:36:00,WO-1005,MC-05-018,CELL-05,CL-OVEN,1,Door gasket condition,OK,,Within standard,,No action,TECH-03,No,
CR-90106,2025-10-16T10:36:00,WO-1005,MC-05-018,CELL-05,CL-OVEN,2,Steam trap operation,NOT OK,,"Deviation observed, corrected on the spot",https://epqpl.sharepoint.com/sites/Maintenance/PM_Photos/MC-05-018_2.jpg,Adjusted and re-verified,TECH-03,No,
CR-90107,2025-10-16T10:36:00,WO-1005,MC-05-018,CELL-05,CL-OVEN,3,Temperature sensor calibration,OK,34.6,Within standard,,No action,TECH-03,No,
CR-90108,2025-10-16T10:36:00,WO-1005,MC-05-018,CELL-05,CL-OVEN,4,Safety relief valve test,NOT OK,,"Deviation observed, corrected on the spot",https://epqpl.sharepoint.com/sites/Maintenance/PM_Photos/MC-05-018_4.jpg,Adjusted and re-verified,TECH-03,No,
CR-90109,2025-10-16T10:36:00,WO-1005,MC-05-018,CELL-05,CL-OVEN,5,Insulation surface temperature,OK,20.8,Within standard,,No action,TECH-03,No,
CR-90110,2025-10-16T10:36:00,WO-1005,MC-05-018,CELL-05,CL-OVEN,6,Condensate drain line,OK,,Within standard,,No action,TECH-03,No,
CR-90111,2025-10-16T10:18:00,WO-1005,MC-05-019,CELL-05,CL-UTIL,1,Motor current draw,OK,16.2,Within standard,,No action,TECH-04,No,
CR-90112,2025-10-16T10:18:00,WO-1005,MC-05-019,CELL-05,CL-UTIL,2,Vibration level at bearing,OK,17.5,Within standard,,No action,TECH-04,No,
CR-90113,2025-10-16T10:18:00,WO-1005,MC-05-019,CELL-05,CL-UTIL,3,Coupling / belt condition,OK,,Within standard,,No action,TECH-04,No,
CR-90114,2025-10-16T10:18:00,WO-1005,MC-05-019,CELL-05,CL-UTIL,4,Panel cleanliness and glands,OK,,Within standard,,No action,TECH-04,No,
CR-90115,2025-10-16T10:18:00,WO-1005,MC-05-019,CELL-05,CL-UTIL,5,Leak check on all joints,OK,,Within standard,,No action,TECH-04,No,
CR-90116,2025-10-16T13:11:00,WO-1005,MC-05-020,CELL-05,CL-UTIL,1,Motor current draw,OK,56.9,Within standard,,No action,TECH-05,No,
CR-90117,2025-10-16T13:11:00,WO-1005,MC-05-020,CELL-05,CL-UTIL,2,Vibration level at bearing,OK,6.1,Within standard,,No action,TECH-05,No,
CR-90118,2025-10-16T13:11:00,WO-1005,MC-05-020,CELL-05,CL-UTIL,3,Coupling / belt condition,OK,,Within standard,,No action,TECH-05,No,
CR-90119,2025-10-16T13:11:00,WO-1005,MC-05-020,CELL-05,CL-UTIL,4,Panel cleanliness and glands,OK,,Within standard,,No action,TECH-05,No,
CR-90120,2025-10-16T13:11:00,WO-1005,MC-05-020,CELL-05,CL-UTIL,5,Leak check on all joints,OK,,Within standard,,No action,TECH-05,No,
CR-90121,2025-10-23T08:21:00,WO-1006,MC-06-021,CELL-06,CL-GEN,1,General cleanliness and 5S,OK,,Within standard,,No action,TECH-01,No,
CR-90122,2025-10-23T08:21:00,WO-1006,MC-06-021,CELL-06,CL-GEN,2,Fastener tightness check,OK,,Within standard,,No action,TECH-01,No,
CR-90123,2025-10-23T08:21:00,WO-1006,MC-06-021,CELL-06,CL-GEN,3,Guard and interlock function,OK,,Within standard,,No action,TECH-01,No,
CR-90124,2025-10-23T08:21:00,WO-1006,MC-06-021,CELL-06,CL-GEN,4,Lubrication as per chart,OK,,Within standard,,No action,TECH-01,No,
CR-90125,2025-10-23T08:21:00,WO-1006,MC-06-021,CELL-06,CL-GEN,5,Electrical panel inspection,OK,,Within standard,,No action,TECH-01,No,
CR-90126,2025-10-23T08:21:00,WO-1006,MC-06-021,CELL-06,CL-GEN,6,Abnormal noise / vibration,OK,,Within standard,,No action,TECH-01,No,
CR-90127,2025-10-23T09:59:00,WO-1006,MC-06-022,CELL-06,CL-PRESS,1,Slide / ram guideway lubrication,OK,,Within standard,,No action,TECH-06,No,
CR-90128,2025-10-23T09:59:00,WO-1006,MC-06-022,CELL-06,CL-PRESS,2,Clutch & brake air pressure,OK,26.1,Within standard,,No action,TECH-06,No,
CR-90129,2025-10-23T09:59:00,WO-1006,MC-06-022,CELL-06,CL-PRESS,3,Die clamping bolt torque,OK,45,Within standard,,No action,TECH-06,No,
CR-90130,2025-10-23T09:59:00,WO-1006,MC-06-022,CELL-06,CL-PRESS,4,Safety light curtain function,OK,,Within standard,,No action,TECH-06,No,
CR-90131,2025-10-23T09:59:00,WO-1006,MC-06-022,CELL-06,CL-PRESS,5,Flywheel bearing temperature,OK,20.5,Within standard,,No action,TECH-06,No,
CR-90132,2025-10-23T09:59:00,WO-1006,MC-06-022,CELL-06,CL-PRESS,6,Oil level in gearbox,OK,,Within standard,,No action,TECH-06,No,
CR-90133,2025-10-23T09:59:00,WO-1006,MC-06-022,CELL-06,CL-PRESS,7,Air line FRL water drain,OK,,Within standard,,No action,TECH-06,No,
CR-90134,2025-10-23T09:59:00,WO-1006,MC-06-022,CELL-06,CL-PRESS,8,Emergency stop function,OK,,Within standard,,No action,TECH-06,No,
CR-90135,2025-10-23T10:38:00,WO-1006,MC-06-023,CELL-06,CL-GEN,1,General cleanliness and 5S,OK,,Within standard,,No action,TECH-06,No,
CR-90136,2025-10-23T10:38:00,WO-1006,MC-06-023,CELL-06,CL-GEN,2,Fastener tightness check,OK,,Within standard,,No action,TECH-06,No,
CR-90137,2025-10-23T10:38:00,WO-1006,MC-06-023,CELL-06,CL-GEN,3,Guard and interlock function,OK,,Within standard,,No action,TECH-06,No,
CR-90138,2025-10-23T10:38:00,WO-1006,MC-06-023,CELL-06,CL-GEN,4,Lubrication as per chart,OK,,Within standard,,No action,TECH-06,No,
CR-90139,2025-10-23T10:38:00,WO-1006,MC-06-023,CELL-06,CL-GEN,5,Electrical panel inspection,OK,,Within standard,,No action,TECH-06,No,
CR-90140,2025-10-23T10:38:00,WO-1006,MC-06-023,CELL-06,CL-GEN,6,Abnormal noise / vibration,OK,,Within standard,,No action,TECH-06,No,
CR-90141,2025-10-23T11:27:00,WO-1006,MC-06-024,CELL-06,CL-TEST,1,Calibration validity,OK,,Within standard,,No action,TECH-06,No,
CR-90142,2025-10-23T11:27:00,WO-1006,MC-06-024,CELL-06,CL-TEST,2,Test lead / probe condition,OK,,Within standard,,No action,TECH-06,No,
CR-90143,2025-10-23T11:27:00,WO-1006,MC-06-024,CELL-06,CL-TEST,3,Reference standard verification,OK,46,Within standard,,No action,TECH-06,No,
CR-90144,2025-10-23T11:27:00,WO-1006,MC-06-024,CELL-06,CL-TEST,4,Earthing of test bench,OK,11.9,Within standard,,No action,TECH-06,No,
CR-90145,2025-10-23T11:27:00,WO-1006,MC-06-024,CELL-06,CL-TEST,5,Interlock and guard function,OK,,Within standard,,No action,TECH-06,No,
CR-90146,2025-10-27T08:25:00,WO-1007,MC-07-025,CELL-07,CL-TEST,1,Calibration validity,OK,,Within standard,,No action,TECH-06,No,
CR-90147,2025-10-27T08:25:00,WO-1007,MC-07-025,CELL-07,CL-TEST,2,Test lead / probe condition,OK,,Within standard,,No action,TECH-06,No,
CR-90148,2025-10-27T08:25:00,WO-1007,MC-07-025,CELL-07,CL-TEST,3,Reference standard verification,OK,33.6,Within standard,,No action,TECH-06,No,
CR-90149,2025-10-27T08:25:00,WO-1007,MC-07-025,CELL-07,CL-TEST,4,Earthing of test bench,OK,42.1,Within standard,,No action,TECH-06,No,
CR-90150,2025-10-27T08:25:00,WO-1007,MC-07-025,CELL-07,CL-TEST,5,Interlock and guard function,OK,,Within standard,,No action,TECH-06,No,
CR-90151,2025-10-27T11:06:00,WO-1007,MC-07-026,CELL-07,CL-TEST,1,Calibration validity,NOT OK,,"Deviation observed, corrected on the spot",https://epqpl.sharepoint.com/sites/Maintenance/PM_Photos/MC-07-026_1.jpg,Adjusted and re-verified,TECH-02,No,
CR-90152,2025-10-27T11:06:00,WO-1007,MC-07-026,CELL-07,CL-TEST,2,Test lead / probe condition,OK,,Within standard,,No action,TECH-02,No,
CR-90153,2025-10-27T11:06:00,WO-1007,MC-07-026,CELL-07,CL-TEST,3,Reference standard verification,OK,28.7,Within standard,,No action,TECH-02,No,
CR-90154,2025-10-27T11:06:00,WO-1007,MC-07-026,CELL-07,CL-TEST,4,Earthing of test bench,OK,27,Within standard,,No action,TECH-02,No,
CR-90155,2025-10-27T11:06:00,WO-1007,MC-07-026,CELL-07,CL-TEST,5,Interlock and guard function,OK,,Within standard,,No action,TECH-02,No,
CR-90156,2025-10-27T10:10:00,WO-1007,MC-07-027,CELL-07,CL-TEST,1,Calibration validity,NOT OK,,"Deviation observed, corrected on the spot",https://epqpl.sharepoint.com/sites/Maintenance/PM_Photos/MC-07-027_1.jpg,Adjusted and re-verified,TECH-02,No,
CR-90157,2025-10-27T10:10:00,WO-1007,MC-07-027,CELL-07,CL-TEST,2,Test lead / probe condition,OK,,Within standard,,No action,TECH-02,No,
CR-90158,2025-10-27T10:10:00,WO-1007,MC-07-027,CELL-07,CL-TEST,3,Reference standard verification,OK,35,Within standard,,No action,TECH-02,No,
