Scan_ID,Scan_DateTime,Machine_ID,Cell_ID,Tech_ID,Scan_Action,Device,WO_No,Comments
SCN-70164,2026-03-12T11:02:00,MC-01-003,CELL-01,TECH-04,Complete PM,Android,WO-1025,
SCN-70165,2026-03-12T10:10:00,MC-01-004,CELL-01,TECH-03,Start PM,Android,WO-1025,
SCN-70166,2026-03-12T12:27:00,MC-01-004,CELL-01,TECH-03,Complete PM,Android,WO-1025,
SCN-70167,2026-03-21T07:07:00,MC-02-005,CELL-02,TECH-06,Start PM,Android,WO-1026,
SCN-70168,2026-03-21T08:49:00,MC-02-005,CELL-02,TECH-06,Complete PM,Android,WO-1026,
SCN-70169,2026-03-21T08:15:00,MC-02-006,CELL-02,TECH-02,Start PM,Android,WO-1026,
SCN-70170,2026-03-21T09:03:00,MC-02-006,CELL-02,TECH-02,Complete PM,Android,WO-1026,
SCN-70171,2026-03-21T09:09:00,MC-02-007,CELL-02,TECH-05,Start PM,Android,WO-1026,
SCN-70172,2026-03-21T11:21:00,MC-02-007,CELL-02,TECH-05,Complete PM,Android,WO-1026,
SCN-70173,2026-03-21T10:48:00,MC-02-008,CELL-02,TECH-05,Start PM,Android,WO-1026,
SCN-70174,2026-03-21T12:37:00,MC-02-008,CELL-02,TECH-05,Complete PM,Android,WO-1026,
SCN-70175,2026-03-28T07:37:00,MC-03-009,CELL-03,TECH-03,Start PM,Android,WO-1027,
SCN-70176,2026-03-28T08:19:00,MC-03-009,CELL-03,TECH-03,Complete PM,Android,WO-1027,
SCN-70177,2026-03-28T08:04:00,MC-03-010,CELL-03,TECH-03,Start PM,Android,WO-1027,
SCN-70178,2026-03-28T10:01:00,MC-03-010,CELL-03,TECH-03,Complete PM,Android,WO-1027,
SCN-70179,2026-03-28T09:29:00,MC-03-011,CELL-03,TECH-04,Start PM,Android,WO-1027,
SCN-70180,2026-03-28T11:18:00,MC-03-011,CELL-03,TECH-04,Complete PM,Android,WO-1027,
SCN-70181,2026-03-28T10:12:00,MC-03-012,CELL-03,TECH-06,Start PM,Android,WO-1027,
SCN-70182,2026-03-28T11:28:00,MC-03-012,CELL-03,TECH-06,Complete PM,Android,WO-1027,
SCN-70183,2026-03-30T07:10:00,MC-04-013,CELL-04,TECH-05,Start PM,Android,WO-1028,
SCN-70184,2026-03-30T08:31:00,MC-04-013,CELL-04,TECH-05,Complete PM,Android,WO-1028,
SCN-70185,2026-03-30T08:41:00,MC-04-014,CELL-04,TECH-06,Start PM,Android,WO-1028,
SCN-70186,2026-03-30T09:58:00,MC-04-014,CELL-04,TECH-06,Complete PM,Android,WO-1028,
SCN-70187,2026-03-30T09:38:00,MC-04-015,CELL-04,TECH-06,Start PM,Android,WO-1028,
SCN-70188,2026-03-30T12:04:00,MC-04-015,CELL-04,TECH-06,Complete PM,Android,WO-1028,
SCN-70189,2026-03-30T10:41:00,MC-04-016,CELL-04,TECH-03,Start PM,Android,WO-1028,
SCN-70190,2026-03-30T12:45:00,MC-04-016,CELL-04,TECH-03,Complete PM,Android,WO-1028,
SCN-70191,2026-04-16T07:19:00,MC-05-017,CELL-05,TECH-03,Start PM,Android,WO-1029,
SCN-70192,2026-04-16T08:17:00,MC-05-017,CELL-05,TECH-03,Complete PM,Android,WO-1029,
SCN-70193,2026-04-16T08:32:00,MC-05-018,CELL-05,TECH-01,Start PM,Android,WO-1029,
SCN-70194,2026-04-16T10:45:00,MC-05-018,CELL-05,TECH-01,Complete PM,Android,WO-1029,
SCN-70195,2026-04-16T09:08:00,MC-05-019,CELL-05,TECH-05,Start PM,Android,WO-1029,
SCN-70196,2026-04-16T10:59:00,MC-05-019,CELL-05,TECH-05,Complete PM,Android,WO-1029,
SCN-70197,2026-04-16T10:46:00,MC-05-020,CELL-05,TECH-02,Start PM,Android,WO-1029,
SCN-70198,2026-04-16T12:17:00,MC-05-020,CELL-05,TECH-02,Complete PM,Android,WO-1029,
SCN-70199,2026-04-18T07:32:00,MC-06-021,CELL-06,TECH-04,Start PM,Android,WO-1030,
SCN-70200,2026-04-18T09:14:00,MC-06-021,CELL-06,TECH-04,Complete PM,Android,WO-1030,
SCN-70201,2026-04-18T08:38:00,MC-06-022,CELL-06,TECH-02,Start PM,Android,WO-1030,
SCN-70202,2026-04-18T09:30:00,MC-06-022,CELL-06,TECH-02,Complete PM,Android,WO-1030,
SCN-70203,2026-04-18T09:18:00,MC-06-023,CELL-06,TECH-01,Start PM,Android,WO-1030,
SCN-70204,2026-04-18T10:03:00,MC-06-023,CELL-06,TECH-01,Complete PM,Android,WO-1030,
SCN-70205,2026-04-18T10:05:00,MC-06-024,CELL-06,TECH-04,Start PM,Android,WO-1030,
SCN-70206,2026-04-18T11:08:00,MC-06-024,CELL-06,TECH-04,Complete PM,Android,WO-1030,
SCN-70207,2026-04-17T07:44:00,MC-07-025,CELL-07,TECH-04,Start PM,Android,WO-1031,
SCN-70208,2026-04-17T10:05:00,MC-07-025,CELL-07,TECH-04,Complete PM,Android,WO-1031,
SCN-70209,2026-04-17T08:01:00,MC-07-026,CELL-07,TECH-01,Start PM,Android,WO-1031,
SCN-70210,2026-04-17T09:08:00,MC-07-026,CELL-07,TECH-01,Complete PM,Android,WO-1031,
SCN-70211,2026-04-17T09:07:00,MC-07-027,CELL-07,TECH-04,Start PM,Android,WO-1031,
SCN-70212,2026-04-17T11:21:00,MC-07-027,CELL-07,TECH-04,Complete PM,Android,WO-1031,
SCN-70213,2026-05-04T07:00:00,MC-08-028,CELL-08,TECH-04,Start PM,Android,WO-1032,
SCN-70214,2026-05-04T08:53:00,MC-08-028,CELL-08,TECH-04,Complete PM,Android,WO-1032,
SCN-70215,2026-05-04T08:42:00,MC-08-029,CELL-08,TECH-02,Start PM,Android,WO-1032,
SCN-70216,2026-05-04T10:42:00,MC-08-029,CELL-08,TECH-02,Complete PM,Android,WO-1032,
SCN-70217,2026-05-04T09:33:00,MC-08-030,CELL-08,TECH-01,Start PM,Android,WO-1032,
SCN-70218,2026-05-04T11:17:00,MC-08-030,CELL-08,TECH-01,Complete PM,Android,WO-1032,
SCN-70219,2026-05-08T07:42:00,MC-01-001,CELL-01,TECH-06,Start PM,Android,WO-1033,
SCN-70220,2026-05-08T09:37:00,MC-01-001,CELL-01,TECH-06,Complete PM,Android,WO-1033,
SCN-70221,2026-05-08T08:41:00,MC-01-002,CELL-01,TECH-03,Start PM,Android,WO-1033,
SCN-70222,2026-05-08T09:38:00,MC-01-002,CELL-01,TECH-03,Complete PM,Android,WO-1033,
SCN-70223,2026-05-08T09:02:00,MC-01-003,CELL-01,TECH-04,Start PM,Android,WO-1033,
SCN-70224,2026-05-08T10:14:00,MC-01-003,CELL-01,TECH-04,Complete PM,Android,WO-1033,
SCN-70225,2026-05-08T10:20:00,MC-01-004,CELL-01,TECH-01,Start PM,Android,WO-1033,
SCN-70226,2026-05-08T11:34:00,MC-01-004,CELL-01,TECH-01,Complete PM,Android,WO-1033,
SCN-70227,2026-05-14T07:27:00,MC-02-005,CELL-02,TECH-03,Start PM,Android,WO-1034,
SCN-70228,2026-05-14T09:55:00,MC-02-005,CELL-02,TECH-03,Complete PM,Android,WO-1034,
SCN-70229,2026-05-14T08:31:00,MC-02-006,CELL-02,TECH-06,Start PM,Android,WO-1034,
SCN-70230,2026-05-14T09:53:00,MC-02-006,CELL-02,TECH-06,Complete PM,Android,WO-1034,
SCN-70231,2026-05-14T09:34:00,MC-02-007,CELL-02,TECH-02,Start PM,Android,WO-1034,
SCN-70232,2026-05-14T10:46:00,MC-02-007,CELL-02,TECH-02,Complete PM,Android,WO-1034,
SCN-70233,2026-05-14T10:18:00,MC-02-008,CELL-02,TECH-06,Start PM,Android,WO-1034,
SCN-70234,2026-05-14T11:32:00,MC-02-008,CELL-02,TECH-06,Complete PM,Android,WO-1034,
SCN-70235,2026-05-26T07:32:00,MC-03-009,CELL-03,TECH-03,Start PM,Android,WO-1035,
SCN-70236,2026-05-26T09:49:00,MC-03-009,CELL-03,TECH-03,Complete PM,Android,WO-1035,
SCN-70237,2026-05-26T08:15:00,MC-03-010,CELL-03,TECH-01,Start PM,Android,WO-1035,
SCN-70238,2026-05-26T10:29:00,MC-03-010,CELL-03,TECH-01,Complete PM,Android,WO-1035,
SCN-70239,2026-05-26T09:02:00,MC-03-011,CELL-03,TECH-05,Start PM,Android,WO-1035,
SCN-70240,2026-05-26T10:54:00,MC-03-011,CELL-03,TECH-05,Complete PM,Android,WO-1035,
SCN-70241,2026-05-26T10:33:00,MC-03-012,CELL-03,TECH-02,Start PM,Android,WO-1035,
SCN-70242,2026-05-26T11:54:00,MC-03-012,CELL-03,TECH-02,Complete PM,Android,WO-1035,
SCN-70243,2026-05-30T07:18:00,MC-04-013,CELL-04,TECH-05,Start PM,Android,WO-1036,
SCN-70244,2026-05-30T09:21:00,MC-04-013,CELL-04,TECH-05,Complete PM,Android,WO-1036,
SCN-70245,2026-05-30T08:20:00,MC-04-014,CELL-04,TECH-06,Start PM,Android,WO-1036,
SCN-70246,2026-05-30T10:20:00,MC-04-014,CELL-04,TECH-06,Complete PM,Android,WO-1036,
SCN-70247,2026-05-30T09:45:00,MC-04-015,CELL-04,TECH-06,Start PM,Android,WO-1036,
SCN-70248,2026-05-30T11:49:00,MC-04-015,CELL-04,TECH-06,Complete PM,Android,WO-1036,
SCN-70249,2026-05-30T10:50:00,MC-04-016,CELL-04,TECH-02,Start PM,Android,WO-1036,
SCN-70250,2026-05-30T11:42:00,MC-04-016,CELL-04,TECH-02,Complete PM,Android,WO-1036,
SCN-70251,2026-06-07T07:08:00,MC-05-017,CELL-05,TECH-01,Start PM,Android,WO-1037,
SCN-70252,2026-06-07T08:23:00,MC-05-017,CELL-05,TECH-01,Complete PM,Android,WO-1037,
SCN-70253,2026-06-07T08:40:00,MC-05-018,CELL-05,TECH-05,Start PM,Android,WO-1037,
SCN-70254,2026-06-07T10:30:00,MC-05-018,CELL-05,TECH-05,Complete PM,Android,WO-1037,
