Req_ID,Request_DateTime,WO_No,Machine_ID,Cell_ID,Spare_Code,Spare_Description,Qty_Requested,Requested_By,Urgency,Reason,Approval_Status,Approved_By,Approved_Date,Issue_Status,Issued_Qty,Issue_Date,Stock_At_Request,Remarks
REQ-4010,2026-03-02T10:00:00,WO-1037,MC-06-022,CELL-06,SP-1005,V-Belt A-42,4,TECH-05,Breakdown,Breakdown repair,Approved,Pravin,2026-03-03,Issued,4,2026-03-04,18,
REQ-4011,2025-10-02T13:00:00,WO-1013,MC-01-002,CELL-01,SP-1006,Contactor 25A 3P 240V Coil,4,TECH-01,Normal,Breakdown repair,Approved,Pravin,2025-10-03,Issued,4,2025-10-04,7,
REQ-4012,2026-02-27T08:00:00,WO-1020,MC-02-006,CELL-02,SP-1011,Door Gasket Silicone 10m Roll,1,TECH-04,Breakdown,Stock top-up,Approved,Pravin,2026-02-28,Issued,1,2026-03-01,45,
REQ-4013,2026-02-13T08:00:00,WO-1012,MC-08-029,CELL-08,SP-1011,Door Gasket Silicone 10m Roll,4,TECH-03,Breakdown,Predictive finding,Approved,Pravin,2026-02-14,Issued,4,2026-02-15,45,
REQ-4014,2025-10-23T11:00:00,WO-1015,MC-02-006,CELL-02,SP-1008,FRL Unit 1/2 inch,3,TECH-03,Normal,Breakdown repair,Approved,Pravin,2025-10-24,Issued,3,2025-10-25,3,
REQ-4015,2025-11-19T08:00:00,WO-1049,MC-07-025,CELL-07,SP-1012,Vibration Motor 0.25 kW,4,TECH-05,Normal,PM replacement,Approved,Pravin,2025-11-20,Issued,4,2025-11-21,2,
REQ-4016,2026-06-25T13:00:00,WO-1037,MC-07-027,CELL-07,SP-1007,PLC Battery CR2032 FX Series,4,TECH-02,Breakdown,Predictive finding,Rejected,Pravin,2026-06-26,Not Issued,0,,12,
REQ-4017,2025-10-18T15:00:00,WO-1008,MC-01-003,CELL-01,SP-1007,PLC Battery CR2032 FX Series,2,TECH-04,Normal,Breakdown repair,Approved,Pravin,2025-10-19,Issued,2,2025-10-20,12,
REQ-4018,2026-01-07T09:00:00,WO-1044,MC-02-007,CELL-02,SP-1013,Welding Electrode Tip Cu-Cr,1,TECH-04,Normal,Breakdown repair,Approved,Pravin,2026-01-08,Issued,1,2026-01-09,38,
REQ-4019,2026-02-10T12:00:00,WO-1006,MC-07-027,CELL-07,SP-1010,Steam Trap 1/2 inch Thermodynamic,1,TECH-04,Breakdown,Predictive finding,Pending,,,Not Issued,0,,2,
REQ-4020,2026-06-24T14:00:00,WO-1051,MC-08-028,CELL-08,SP-1005,V-Belt A-42,1,TECH-06,Breakdown,PM replacement,Pending,,,Not Issued,0,,18,
REQ-4021,2025-12-15T16:00:00,WO-1007,MC-04-014,CELL-04,SP-1003,Solenoid Valve 5/2 24VDC,1,TECH-05,Normal,Predictive finding,Approved,Pravin,2025-12-16,Issued,1,2025-12-17,9,
REQ-4022,2026-03-26T13:00:00,WO-1037,MC-08-028,CELL-08,SP-1009,Thermocouple Type K 3mm,4,TECH-05,Breakdown,PM replacement,Approved,Pravin,2026-03-27,Issued,4,2026-03-28,11,
REQ-4023,2026-04-25T09:00:00,WO-1003,MC-02-006,CELL-02,SP-1005,V-Belt A-42,4,TECH-04,Urgent,Breakdown repair,Approved,Pravin,2026-04-26,Issued,4,2026-04-27,18,
REQ-4024,2026-06-01T11:00:00,WO-1022,MC-01-002,CELL-01,SP-1012,Vibration Motor 0.25 kW,1,TECH-03,Urgent,Predictive finding,Pending,,,Not Issued,0,,2,
REQ-4025,2025-11-20T20:00:00,WO-1048,MC-07-027,CELL-07,SP-1008,FRL Unit 1/2 inch,3,TECH-04,Urgent,Predictive finding,Approved,Pravin,2025-11-21,Issued,3,2025-11-22,3,
REQ-4026,2026-08-06T17:00:00,WO-1014,MC-06-024,CELL-06,SP-1007,PLC Battery CR2032 FX Series,4,TECH-04,Breakdown,Predictive finding,Approved,Pravin,2026-08-07,Issued,4,2026-08-08,12,
REQ-4027,2026-06-21T19:00:00,WO-1046,MC-07-027,CELL-07,SP-1001,Proximity Sensor M12 PNP NO,3,TECH-05,Breakdown,Breakdown repair,Approved,Pravin,2026-06-22,Issued,3,2026-06-23,14,
REQ-4028,2026-06-26T16:00:00,WO-1013,MC-07-025,CELL-07,SP-1014,SMPS 24VDC 5A,2,TECH-01,Normal,PM replacement,Approved,Pravin,2026-06-27,Issued,2,2026-06-28,6,
REQ-4029,2026-04-03T18:00:00,WO-1030,MC-04-015,CELL-04,SP-1001,Proximity Sensor M12 PNP NO,3,TECH-05,Breakdown,PM replacement,Approved,Pravin,2026-04-04,Issued,3,2026-04-05,14,
REQ-4030,2026-02-01T12:00:00,WO-1012,MC-06-022,CELL-06,SP-1001,Proximity Sensor M12 PNP NO,4,TECH-04,Urgent,Predictive finding,Approved,Pravin,2026-02-02,Issued,4,2026-02-03,14,
REQ-4031,2026-02-10T18:00:00,WO-1019,MC-02-006,CELL-02,SP-1014,SMPS 24VDC 5A,1,TECH-01,Breakdown,PM replacement,Pending,,,Not Issued,0,,6,
REQ-4032,2026-07-20T19:00:00,WO-1042,MC-02-006,CELL-02,SP-1014,SMPS 24VDC 5A,2,TECH-02,Normal,Predictive finding,Rejected,Pravin,2026-07-21,Not Issued,0,,6,
REQ-4033,2026-06-20T07:00:00,WO-1031,MC-06-021,CELL-06,SP-1007,PLC Battery CR2032 FX Series,1,TECH-02,Normal,PM replacement,Pending,,,Not Issued,0,,12,
REQ-4034,2026-08-08T19:00:00,WO-1028,MC-02-008,CELL-02,SP-1005,V-Belt A-42,3,TECH-04,Urgent,Stock top-up,Pending,,,Not Issued,0,,18,
REQ-4035,2026-05-27T11:00:00,WO-1038,MC-03-009,CELL-03,SP-1004,Deep Groove Ball Bearing 6205,4,TECH-01,Normal,Predictive finding,Approved,Pravin,2026-05-28,Issued,4,2026-05-29,26,
REQ-4036,2026-08-01T16:00:00,WO-1031,MC-05-018,CELL-05,SP-1011,Door Gasket Silicone 10m Roll,1,TECH-01,Urgent,Predictive finding,Approved,Pravin,2026-08-02,Issued,1,2026-08-03,45,
REQ-4037,2026-02-19T11:00:00,WO-1013,MC-06-021,CELL-06,SP-1006,Contactor 25A 3P 240V Coil,3,TECH-02,Normal,PM replacement,Approved,Pravin,2026-02-20,Issued,3,2026-02-21,7,
REQ-4038,2026-08-04T13:00:00,WO-1047,MC-07-026,CELL-07,SP-1014,SMPS 24VDC 5A,2,TECH-01,Breakdown,Predictive finding,Approved,Pravin,2026-08-05,Issued,2,2026-08-06,6,
REQ-4039,2026-05-03T13:00:00,WO-1038,MC-03-009,CELL-03,SP-1015,Servo Drive Cooling Fan 24V,1,TECH-06,Normal,Predictive finding,Approved,Pravin,2026-05-04,Issued,1,2026-05-05,8,
REQ-4040,2026-01-22T17:00:00,WO-1043,MC-06-024,CELL-06,SP-1012,Vibration Motor 0.25 kW,4,TECH-03,Urgent,Breakdown repair,Approved,Pravin,2026-01-23,Issued,4,2026-01-24,2,
REQ-4041,2026-07-13T09:00:00,WO-1009,MC-07-027,CELL-07,SP-1011,Door Gasket Silicone 10m Roll,4,TECH-06,Urgent,Breakdown repair,Approved,Pravin,2026-07-14,Issued,4,2026-07-15,45,
REQ-4042,2026-03-21T17:00:00,WO-1015,MC-06-022,CELL-06,SP-1015,Servo Drive Cooling Fan 24V,3,TECH-06,Urgent,Stock top-up,Approved,Pravin,2026-03-22,Issued,3,2026-03-23,8,
REQ-4043,2026-03-19T12:00:00,WO-1030,MC-07-026,CELL-07,SP-1015,Servo Drive Cooling Fan 24V,3,TECH-01,Breakdown,PM replacement,Approved,Pravin,2026-03-20,Issued,3,2026-03-21,8,
REQ-4044,2026-07-26T16:00:00,WO-1031,MC-08-028,CELL-08,SP-1011,Door Gasket Silicone 10m Roll,1,TECH-02,Normal,Stock top-up,Pending,,,Not Issued,0,,45,
REQ-4045,2026-04-30T07:00:00,WO-1009,MC-05-017,CELL-05,SP-1005,V-Belt A-42,2,TECH-02,Urgent,Stock top-up,Pending,,,Not Issued,0,,18,
REQ-4046,2026-05-23T09:00:00,WO-1050,MC-05-019,CELL-05,SP-1015,Servo Drive Cooling Fan 24V,2,TECH-01,Breakdown,Predictive finding,Approved,Pravin,2026-05-24,Issued,2,2026-05-25,8,
REQ-4047,2026-03-10T17:00:00,WO-1018,MC-06-021,CELL-06,SP-1003,Solenoid Valve 5/2 24VDC,4,TECH-02,Normal,Breakdown repair,Approved,Pravin,2026-03-11,Issued,4,2026-03-12,9,
REQ-4048,2025-11-15T09:00:00,WO-1026,MC-04-016,CELL-04,SP-1013,Welding Electrode Tip Cu-Cr,4,TECH-04,Breakdown,Stock top-up,Approved,Pravin,2025-11-16,Issued,4,2025-11-17,38,
REQ-4049,2026-07-01T10:00:00,WO-1021,MC-01-001,CELL-01,SP-1001,Proximity Sensor M12 PNP NO,1,TECH-05,Normal,PM replacement,Approved,Pravin,2026-07-02,Issued,1,2026-07-03,14,
REQ-4050,2026-08-17T18:00:00,WO-1020,MC-06-022,CELL-06,SP-1001,Proximity Sensor M12 PNP NO,3,TECH-02,Normal,Stock top-up,Approved,Pravin,2026-08-18,Issued,3,2026-08-19,14,
REQ-4051,2026-03-06T09:00:00,WO-1020,MC-05-017,CELL-05,SP-1010,Steam Trap 1/2 inch Thermodynamic,1,TECH-03,Breakdown,Predictive finding,Approved,Pravin,2026-03-07,Issued,1,2026-03-08,2,
REQ-4052,2025-12-08T12:00:00,WO-1023,MC-04-014,CELL-04,SP-1015,Servo Drive Cooling Fan 24V,4,TECH-02,Normal,Stock top-up,Rejected,Pravin,2025-12-09,Not Issued,0,,8,
REQ-4053,2026-01-23T18:00:00,WO-1047,MC-01-001,CELL-01,SP-1004,Deep Groove Ball Bearing 6205,2,TECH-01,Normal,PM replacement,Rejected,Pravin,2026-01-24,Not Issued,0,,26,
REQ-4054,2025-10-20T13:00:00,WO-1050,MC-03-012,CELL-03,SP-1012,Vibration Motor 0.25 kW,3,TECH-05,Normal,PM replacement,Pending,,,Not Issued,0,,2,
REQ-4055,2025-10-11T07:00:00,WO-1029,MC-06-022,CELL-06,SP-1002,Pneumatic Cylinder 32x100 DA,4,TECH-04,Normal,Predictive finding,Approved,Pravin,2025-10-12,Issued,4,2025-10-13,5,
REQ-4056,2025-12-18T10:00:00,WO-1020,MC-04-016,CELL-04,SP-1012,Vibration Motor 0.25 kW,1,TECH-04,Normal,Predictive finding,Approved,Pravin,2025-12-19,Issued,1,2025-12-20,2,
REQ-4057,2025-12-10T13:00:00,WO-1033,MC-05-020,CELL-05,SP-1010,Steam Trap 1/2 inch Thermodynamic,1,TECH-06,Normal,Predictive finding,Pending,,,Not Issued,0,,2,
REQ-4058,2025-11-24T14:00:00,WO-1050,MC-01-004,CELL-01,SP-1013,Welding Electrode Tip Cu-Cr,2,TECH-03,Normal,Predictive finding,Approved,Pravin,2025-11-25,Issued,2,2025-11-26,38,
REQ-4059,2026-03-01T09:00:00,WO-1014,MC-06-023,CELL-06,SP-1007,PLC Battery CR2032 FX Series,4,TECH-06,Breakdown,Predictive finding,Approved,Pravin,2026-03-02,Issued,4,2026-03-03,12,
REQ-4060,2025-10-07T17:00:00,WO-1037,MC-02-008,CELL-02,SP-1001,Proximity Sensor M12 PNP NO,1,TECH-06,Breakdown,Breakdown repair,Approved,Pravin,2025-10-08,Issued,1,2025-10-09,14,
REQ-4061,2026-06-19T08:00:00,WO-1017,MC-01-003,CELL-01,SP-1013,Welding Electrode Tip Cu-Cr,1,TECH-06,Normal,Stock top-up,Approved,Pravin,2026-06-20,Issued,1,2026-06-21,38,
REQ-4062,2026-05-26T07:00:00,WO-1003,MC-03-010,CELL-03,SP-1005,V-Belt A-42,2,TECH-03,Urgent,Predictive finding,Approved,Pravin,2026-05-27,Issued,2,2026-05-28,18,
REQ-4063,2025-11-29T08:00:00,WO-1001,MC-04-014,CELL-04,SP-1012,Vibration Motor 0.25 kW,1,TECH-02,Normal,Predictive finding,Pending,,,Not Issued,0,,2,
