Abn_ID,Logged_DateTime,Machine_ID,Cell_ID,Logged_By,Category,Description,Severity,Photo_Link,Immediate_Action,Responsibility,Target_Date,Status,Closed_Date,Closure_Remarks,Converted_To_WO
ABN-8023,2026-06-10T16:00:00,MC-06-022,CELL-06,TECH-01,Contamination,Excess vibration at vibrator motor mount,High,https://epqpl.sharepoint.com/sites/Maintenance/Abnormality_Photos/MC-06-022_23.jpg,"Temporary correction done, area cordoned",TECH-05,2026-06-23,Open,,,No
ABN-8024,2026-07-22T20:00:00,MC-08-029,CELL-08,TECH-05,Abnormal Noise,"Panel exhaust fan not running, panel warm",Medium,https://epqpl.sharepoint.com/sites/Maintenance/Abnormality_Photos/MC-08-029_24.jpg,"Temporary correction done, area cordoned",TECH-02,2026-08-12,Closed,2026-07-28,Permanent fix done and verified,Yes
ABN-8025,2026-05-05T14:00:00,MC-05-017,CELL-05,TECH-03,Overheating,Continuous air leak at FRL bowl,Low,https://epqpl.sharepoint.com/sites/Maintenance/Abnormality_Photos/MC-05-017_25.jpg,"Temporary correction done, area cordoned",TECH-04,2026-05-11,Closed,2026-05-29,Permanent fix done and verified,No
ABN-8026,2025-10-05T07:00:00,MC-03-011,CELL-03,TECH-01,Vibration,Excess vibration at vibrator motor mount,Low,https://epqpl.sharepoint.com/sites/Maintenance/Abnormality_Photos/MC-03-011_26.jpg,"Temporary correction done, area cordoned",TECH-05,2025-10-16,Closed,2025-10-12,Permanent fix done and verified,No
ABN-8027,2026-02-15T14:00:00,MC-02-008,CELL-02,TECH-02,Contamination,"Panel exhaust fan not running, panel warm",Low,https://epqpl.sharepoint.com/sites/Maintenance/Abnormality_Photos/MC-02-008_27.jpg,"Temporary correction done, area cordoned",TECH-02,2026-03-03,Closed,2026-03-11,Permanent fix done and verified,No
ABN-8028,2026-04-24T11:00:00,MC-03-012,CELL-03,TECH-05,Oil Leak,Sand carryover on conveyor edge,Medium,https://epqpl.sharepoint.com/sites/Maintenance/Abnormality_Photos/MC-03-012_28.jpg,"Temporary correction done, area cordoned",TECH-06,2026-05-05,Closed,2026-05-03,Permanent fix done and verified,No
ABN-8029,2026-04-14T10:00:00,MC-08-028,CELL-08,TECH-02,Contamination,Guard interlock bypassed with tape,High,https://epqpl.sharepoint.com/sites/Maintenance/Abnormality_Photos/MC-08-028_29.jpg,"Temporary correction done, area cordoned",TECH-02,2026-04-30,Open,,,No
ABN-8030,2026-06-22T15:00:00,MC-02-005,CELL-02,TECH-03,Abnormal Noise,Loose cable dressing near walkway,Low,https://epqpl.sharepoint.com/sites/Maintenance/Abnormality_Photos/MC-02-005_30.jpg,"Temporary correction done, area cordoned",TECH-05,2026-06-26,In Progress,,,No
ABN-8031,2025-12-23T07:00:00,MC-01-004,CELL-01,TECH-06,Quality,Dust accumulation inside control panel,Medium,https://epqpl.sharepoint.com/sites/Maintenance/Abnormality_Photos/MC-01-004_31.jpg,"Temporary correction done, area cordoned",TECH-06,2026-01-05,Closed,2026-01-02,Permanent fix done and verified,No
ABN-8032,2026-07-14T15:00:00,MC-03-012,CELL-03,TECH-01,Overheating,Sand carryover on conveyor edge,Low,https://epqpl.sharepoint.com/sites/Maintenance/Abnormality_Photos/MC-03-012_32.jpg,"Temporary correction done, area cordoned",TECH-03,2026-07-23,Closed,2026-08-03,Permanent fix done and verified,No
ABN-8033,2026-02-23T12:00:00,MC-07-025,CELL-07,TECH-06,Contamination,Sand carryover on conveyor edge,Medium,https://epqpl.sharepoint.com/sites/Maintenance/Abnormality_Photos/MC-07-025_33.jpg,"Temporary correction done, area cordoned",TECH-04,2026-03-07,Closed,2026-03-11,Permanent fix done and verified,No
ABN-8034,2025-12-25T17:00:00,MC-08-028,CELL-08,TECH-06,Overheating,Sand carryover on conveyor edge,Low,https://epqpl.sharepoint.com/sites/Maintenance/Abnormality_Photos/MC-08-028_34.jpg,"Temporary correction done, area cordoned",TECH-01,2026-01-02,Closed,2026-01-06,Permanent fix done and verified,No
ABN-8035,2026-03-12T17:00:00,MC-03-011,CELL-03,TECH-06,Overheating,Knocking sound from press flywheel,Medium,https://epqpl.sharepoint.com/sites/Maintenance/Abnormality_Photos/MC-03-011_35.jpg,"Temporary correction done, area cordoned",TECH-04,2026-03-26,Closed,2026-04-06,Permanent fix done and verified,No
ABN-8036,2025-12-25T09:00:00,MC-04-014,CELL-04,TECH-02,Abnormal Noise,Sand carryover on conveyor edge,Low,https://epqpl.sharepoint.com/sites/Maintenance/Abnormality_Photos/MC-04-014_36.jpg,"Temporary correction done, area cordoned",TECH-02,2026-01-02,Closed,2026-01-08,Permanent fix done and verified,Yes
ABN-8037,2025-11-02T21:00:00,MC-01-004,CELL-01,TECH-01,Overheating,Loose cable dressing near walkway,Low,https://epqpl.sharepoint.com/sites/Maintenance/Abnormality_Photos/MC-01-004_37.jpg,"Temporary correction done, area cordoned",TECH-01,2025-11-08,Closed,2025-11-12,Permanent fix done and verified,No
ABN-8038,2026-04-18T11:00:00,MC-01-003,CELL-01,TECH-04,Air Leak,Continuous air leak at FRL bowl,Medium,https://epqpl.sharepoint.com/sites/Maintenance/Abnormality_Photos/MC-01-003_38.jpg,"Temporary correction done, area cordoned",TECH-05,2026-04-26,In Progress,,,Yes
ABN-8039,2026-04-01T20:00:00,MC-01-002,CELL-01,TECH-04,5S / Housekeeping,Knocking sound from press flywheel,Low,https://epqpl.sharepoint.com/sites/Maintenance/Abnormality_Photos/MC-01-002_39.jpg,"Temporary correction done, area cordoned",TECH-05,2026-04-18,Open,,,No
ABN-8040,2026-07-04T09:00:00,MC-06-023,CELL-06,TECH-06,Overheating,Loose cable dressing near walkway,Medium,https://epqpl.sharepoint.com/sites/Maintenance/Abnormality_Photos/MC-06-023_40.jpg,"Temporary correction done, area cordoned",TECH-06,2026-07-24,Closed,2026-07-15,Permanent fix done and verified,No
ABN-8041,2026-07-04T10:00:00,MC-04-016,CELL-04,TECH-03,Overheating,Knocking sound from press flywheel,Low,https://epqpl.sharepoint.com/sites/Maintenance/Abnormality_Photos/MC-04-016_41.jpg,"Temporary correction done, area cordoned",TECH-02,2026-07-16,Closed,2026-07-06,Permanent fix done and verified,Yes
ABN-8042,2025-12-09T12:00:00,MC-05-017,CELL-05,TECH-06,Contamination,Dust accumulation inside control panel,Medium,https://epqpl.sharepoint.com/sites/Maintenance/Abnormality_Photos/MC-05-017_42.jpg,"Temporary correction done, area cordoned",TECH-03,2025-12-12,Closed,2025-12-24,Permanent fix done and verified,No
ABN-8043,2026-01-27T19:00:00,MC-05-020,CELL-05,TECH-04,5S / Housekeeping,"Panel exhaust fan not running, panel warm",High,https://epqpl.sharepoint.com/sites/Maintenance/Abnormality_Photos/MC-05-020_43.jpg,"Temporary correction done, area cordoned",TECH-04,2026-02-06,Closed,2026-02-03,Permanent fix done and verified,No
