BD_ID,Reported_DateTime,Machine_ID,Cell_ID,Reported_By_Tech_ID,Shift,Breakdown_Type,Symptom,Root_Cause,Action_Taken,Response_DateTime,Repair_Start,Repair_End,Response_Time_Min,MTTR_Min,Production_Loss_Min,Spare_Used,Status,Recurrence_Flag,Linked_PM_WO,Remarks
BD-3039,2025-10-30T11:30:00,MC-03-010,CELL-03,TECH-04,C (22:00-06:00),Electrical,HMI communication lost,Loose terminal connection,Replaced / rectified and trial taken,2025-10-30T11:42:00,2025-10-30T12:00:00,2025-10-30T15:38:00,12,218,248,No,Closed,No,,
BD-3040,2026-07-23T11:15:00,MC-04-016,CELL-04,TECH-02,B (14:00-22:00),Hydraulic,HMI communication lost,Contactor coil burnt,Replaced / rectified and trial taken,2026-07-23T11:49:00,2026-07-23T12:00:00,2026-07-23T13:31:00,34,91,136,No,Closed,Yes,,
BD-3041,2025-11-09T12:45:00,MC-04-016,CELL-04,TECH-04,C (22:00-06:00),Hydraulic,Product jam at station,Solenoid valve stuck,Replaced / rectified and trial taken,2025-11-09T13:23:00,2025-11-09T13:41:00,2025-11-09T18:14:00,38,273,329,No,Closed,No,,
BD-3042,2026-06-17T06:15:00,MC-01-003,CELL-01,TECH-02,C (22:00-06:00),Pneumatic,Air leak at cylinder,Solenoid valve stuck,Replaced / rectified and trial taken,2026-06-17T06:36:00,2026-06-17T06:39:00,2026-06-17T09:19:00,21,160,184,No,Closed,No,,
BD-3043,2026-05-20T09:00:00,MC-05-018,CELL-05,TECH-05,A (06:00-14:00),Utility,Panel tripping on overload,Steam trap blocked,Replaced / rectified and trial taken,2026-05-20T09:20:00,2026-05-20T09:39:00,2026-05-20T13:06:00,20,207,246,Yes,Closed,No,,
BD-3044,2026-08-01T13:30:00,MC-01-004,CELL-01,TECH-03,A (06:00-14:00),Hydraulic,Abnormal noise from drive,Sensor misaligned,Replaced / rectified and trial taken,2026-08-01T13:35:00,2026-08-01T13:51:00,2026-08-01T16:25:00,5,154,175,Yes,Closed,No,,
BD-3045,2026-07-10T19:15:00,MC-08-028,CELL-08,TECH-01,C (22:00-06:00),Pneumatic,Steam pressure not building,Cooling fan choked,Replaced / rectified and trial taken,2026-07-10T19:26:00,2026-07-10T19:34:00,2026-07-10T21:39:00,11,125,144,No,Closed,No,,
BD-3046,2026-08-27T15:30:00,MC-03-011,CELL-03,TECH-06,A (06:00-14:00),Electrical,Product jam at station,Contactor coil burnt,Replaced / rectified and trial taken,2026-08-27T16:09:00,2026-08-27T16:19:00,2026-08-27T21:02:00,39,283,332,No,Closed,No,,
BD-3047,2025-11-07T13:15:00,MC-06-023,CELL-06,TECH-04,A (06:00-14:00),Instrumentation,Overheating of motor,Loose terminal connection,Replaced / rectified and trial taken,2025-11-07T13:38:00,2025-11-07T13:47:00,2025-11-07T17:28:00,23,221,253,No,Closed,No,,
BD-3048,2026-07-22T08:45:00,MC-01-003,CELL-01,TECH-04,B (14:00-22:00),Pneumatic,HMI communication lost,Contactor coil burnt,Replaced / rectified and trial taken,2026-07-22T09:20:00,2026-07-22T09:30:00,2026-07-22T12:58:00,35,208,253,No,Closed,Yes,,
BD-3049,2026-04-23T17:00:00,MC-06-024,CELL-06,TECH-04,A (06:00-14:00),Hydraulic,Overheating of motor,Belt slipping,Replaced / rectified and trial taken,2026-04-23T17:37:00,2026-04-23T17:51:00,2026-04-23T20:02:00,37,131,182,No,Closed,No,,
BD-3050,2026-06-23T10:45:00,MC-05-018,CELL-05,TECH-01,C (22:00-06:00),Hydraulic,Machine not starting,Bearing worn out,Replaced / rectified and trial taken,2026-06-23T11:09:00,2026-06-23T11:12:00,2026-06-23T11:55:00,24,43,70,Yes,Closed,No,,
BD-3051,2025-09-01T19:15:00,MC-04-015,CELL-04,TECH-03,A (06:00-14:00),Utility,Cycle time increased,Cooling fan choked,Replaced / rectified and trial taken,2025-09-01T19:26:00,2025-09-01T19:37:00,2025-09-01T21:18:00,11,101,123,Yes,Closed,No,,
BD-3052,2026-07-30T11:00:00,MC-06-022,CELL-06,TECH-04,C (22:00-06:00),Mechanical,Abnormal noise from drive,Contactor coil burnt,Replaced / rectified and trial taken,2026-07-30T11:28:00,2026-07-30T11:39:00,2026-07-30T13:58:00,28,139,178,Yes,Closed,No,,
BD-3053,2025-11-07T13:45:00,MC-01-003,CELL-01,TECH-01,B (14:00-22:00),Utility,Air leak at cylinder,Solenoid valve stuck,Replaced / rectified and trial taken,2025-11-07T13:48:00,2025-11-07T13:50:00,2025-11-07T17:05:00,3,195,200,Yes,Closed,No,,
BD-3054,2025-10-16T09:00:00,MC-04-013,CELL-04,TECH-02,B (14:00-22:00),Electrical,Air leak at cylinder,Bearing worn out,Replaced / rectified and trial taken,2025-10-16T09:23:00,2025-10-16T09:36:00,2025-10-16T12:29:00,23,173,209,No,Closed,Yes,,
BD-3055,2026-07-30T11:45:00,MC-05-020,CELL-05,TECH-04,C (22:00-06:00),Utility,Panel tripping on overload,Sensor misaligned,Replaced / rectified and trial taken,2026-07-30T12:10:00,2026-07-30T12:18:00,2026-07-30T13:55:00,25,97,130,Yes,Closed,Yes,,
BD-3056,2025-11-03T18:30:00,MC-02-005,CELL-02,TECH-02,B (14:00-22:00),Utility,Abnormal noise from drive,Sensor misaligned,Replaced / rectified and trial taken,2025-11-03T19:00:00,2025-11-03T19:12:00,2025-11-03T20:43:00,30,91,133,No,Closed,No,,
BD-3057,2026-08-20T06:30:00,MC-07-025,CELL-07,TECH-05,A (06:00-14:00),Utility,Product jam at station,Cooling fan choked,Replaced / rectified and trial taken,2026-08-20T06:46:00,2026-08-20T07:04:00,2026-08-20T12:34:00,16,330,364,No,Closed,Yes,,
BD-3058,2026-01-01T21:45:00,MC-07-026,CELL-07,TECH-06,C (22:00-06:00),Mechanical,Steam pressure not building,Contactor coil burnt,Replaced / rectified and trial taken,2026-01-01T21:55:00,2026-01-01T22:04:00,2026-01-02T02:39:00,10,275,294,No,Closed,No,,
BD-3059,2026-03-18T19:30:00,MC-02-005,CELL-02,TECH-01,A (06:00-14:00),Instrumentation,Abnormal noise from drive,Contactor coil burnt,Replaced / rectified and trial taken,2026-03-18T20:07:00,2026-03-18T20:14:00,2026-03-19T00:35:00,37,261,305,No,Closed,No,,
BD-3060,2025-10-01T18:30:00,MC-01-002,CELL-01,TECH-06,B (14:00-22:00),Mechanical,Steam pressure not building,Steam trap blocked,Replaced / rectified and trial taken,2025-10-01T19:05:00,2025-10-01T19:20:00,2025-10-01T23:16:00,35,236,286,No,Closed,No,,
BD-3061,2025-10-13T15:00:00,MC-03-009,CELL-03,TECH-05,B (14:00-22:00),Hydraulic,HMI communication lost,Bearing worn out,Replaced / rectified and trial taken,2025-10-13T15:35:00,2025-10-13T15:43:00,2025-10-13T17:22:00,35,99,142,No,Closed,No,,
BD-3062,2026-01-01T07:15:00,MC-06-024,CELL-06,TECH-04,C (22:00-06:00),Instrumentation,Machine not starting,Cooling fan choked,Replaced / rectified and trial taken,2026-01-01T07:23:00,2026-01-01T07:38:00,2026-01-01T08:57:00,8,79,102,No,Closed,No,,
BD-3063,2025-09-07T10:00:00,MC-01-004,CELL-01,TECH-05,C (22:00-06:00),Utility,Overheating of motor,Seal kit damaged,Replaced / rectified and trial taken,2025-09-07T10:13:00,2025-09-07T10:30:00,2025-09-07T13:47:00,13,197,227,No,Closed,No,,
BD-3064,2026-01-16T09:00:00,MC-06-024,CELL-06,TECH-05,A (06:00-14:00),Pneumatic,HMI communication lost,Bearing worn out,Replaced / rectified and trial taken,2026-01-16T09:24:00,2026-01-16T09:39:00,2026-01-16T12:18:00,24,159,198,No,Closed,No,,
BD-3065,2026-03-04T07:45:00,MC-05-017,CELL-05,TECH-02,B (14:00-22:00),Mechanical,HMI communication lost,Bearing worn out,Replaced / rectified and trial taken,2026-03-04T08:24:00,2026-03-04T08:31:00,2026-03-04T11:59:00,39,208,254,Yes,Closed,Yes,,
BD-3066,2025-09-07T13:00:00,MC-01-002,CELL-01,TECH-02,A (06:00-14:00),Mechanical,Steam pressure not building,Loose terminal connection,Replaced / rectified and trial taken,2025-09-07T13:33:00,2025-09-07T13:46:00,2025-09-07T17:22:00,33,216,262,Yes,Closed,No,,
BD-3067,2026-04-02T16:30:00,MC-02-008,CELL-02,TECH-01,C (22:00-06:00),Utility,Machine not starting,Seal kit damaged,Replaced / rectified and trial taken,2026-04-02T16:37:00,2026-04-02T16:57:00,2026-04-02T20:27:00,7,210,237,Yes,Closed,Yes,,
BD-3068,2025-10-06T20:30:00,MC-04-013,CELL-04,TECH-05,B (14:00-22:00),Mechanical,Cycle time increased,Sensor misaligned,Replaced / rectified and trial taken,2025-10-06T20:52:00,2025-10-06T21:04:00,2025-10-06T22:08:00,22,64,98,No,Closed,No,,
BD-3069,2026-07-16T13:45:00,MC-06-024,CELL-06,TECH-02,C (22:00-06:00),Instrumentation,Sensor not detecting,Seal kit damaged,Replaced / rectified and trial taken,2026-07-16T14:11:00,2026-07-16T14:31:00,2026-07-16T19:03:00,26,272,318,Yes,Closed,No,,
BD-3070,2025-12-29T17:00:00,MC-01-001,CELL-01,TECH-06,C (22:00-06:00),Pneumatic,Abnormal noise from drive,Sensor misaligned,Replaced / rectified and trial taken,2025-12-29T17:24:00,2025-12-29T17:26:00,2025-12-29T20:58:00,24,212,238,No,Closed,No,,
BD-3071,2026-05-10T07:15:00,MC-04-014,CELL-04,TECH-02,C (22:00-06:00),Hydraulic,Cycle time increased,Solenoid valve stuck,Replaced / rectified and trial taken,2026-05-10T07:35:00,2026-05-10T07:39:00,2026-05-10T08:21:00,20,42,66,No,Closed,Yes,,
BD-3072,2025-10-19T22:15:00,MC-05-019,CELL-05,TECH-05,A (06:00-14:00),Hydraulic,Air leak at cylinder,Sensor misaligned,Replaced / rectified and trial taken,2025-10-19T22:43:00,2025-10-19T22:47:00,2025-10-20T04:10:00,28,323,355,No,Closed,No,,
BD-3073,2026-02-09T18:30:00,MC-08-028,CELL-08,TECH-02,A (06:00-14:00),Electrical,Air leak at cylinder,Cable continuity broken,Replaced / rectified and trial taken,2026-02-09T18:53:00,2026-02-09T19:09:00,2026-02-09T21:48:00,23,159,198,Yes,Closed,No,,
BD-3074,2025-11-24T20:45:00,MC-01-004,CELL-01,TECH-05,B (14:00-22:00),Electrical,Panel tripping on overload,Cooling fan choked,Replaced / rectified and trial taken,2025-11-24T21:08:00,2025-11-24T21:23:00,2025-11-24T22:44:00,23,81,119,No,Closed,No,,
BD-3075,2025-11-01T08:15:00,MC-08-028,CELL-08,TECH-03,A (06:00-14:00),Mechanical,Sensor not detecting,Belt slipping,Replaced / rectified and trial taken,2025-11-01T08:37:00,2025-11-01T08:40:00,2025-11-01T10:50:00,22,130,155,No,Closed,Yes,,
BD-3076,2026-02-01T14:15:00,MC-06-022,CELL-06,TECH-05,C (22:00-06:00),Instrumentation,Sensor not detecting,Bearing worn out,Replaced / rectified and trial taken,2026-02-01T14:19:00,2026-02-01T14:33:00,2026-02-01T18:44:00,4,251,269,No,Closed,Yes,,
BD-3077,2025-11-11T09:00:00,MC-07-026,CELL-07,TECH-02,B (14:00-22:00),Pneumatic,Abnormal noise from drive,Cable continuity broken,Replaced / rectified and trial taken,2025-11-11T09:06:00,2025-11-11T09:15:00,2025-11-11T10:41:00,6,86,101,No,Closed,No,,
BD-3078,2025-10-09T06:00:00,MC-08-030,CELL-08,TECH-01,B (14:00-22:00),Mechanical,Machine not starting,Solenoid valve stuck,Replaced / rectified and trial taken,2025-10-09T06:15:00,2025-10-09T06:31:00,2025-10-09T07:56:00,15,85,116,Yes,Closed,No,,
BD-3079,2026-06-21T19:45:00,MC-08-030,CELL-08,TECH-06,B (14:00-22:00),Electrical,Cycle time increased,Sensor misaligned,Replaced / rectified and trial taken,2026-06-21T20:19:00,2026-06-21T20:21:00,2026-06-21T23:56:00,34,215,251,Yes,Closed,No,,
BD-3080,2026-04-17T10:00:00,MC-03-009,CELL-03,TECH-04,C (22:00-06:00),Hydraulic,Machine not starting,Bearing worn out,Replaced / rectified and trial taken,2026-04-17T10:18:00,2026-04-17T10:29:00,2026-04-17T15:04:00,18,275,304,No,Closed,No,,
BD-3081,2026-04-03T12:15:00,MC-02-005,CELL-02,TECH-06,B (14:00-22:00),Hydraulic,Steam pressure not building,Solenoid valve stuck,Replaced / rectified and trial taken,2026-04-03T12:52:00,2026-04-03T12:54:00,2026-04-03T16:29:00,37,215,254,No,Closed,No,,
BD-3082,2026-01-17T11:00:00,MC-04-013,CELL-04,TECH-03,A (06:00-14:00),Hydraulic,Steam pressure not building,Belt slipping,Replaced / rectified and trial taken,2026-01-17T11:23:00,2026-01-17T11:32:00,2026-01-17T12:07:00,23,35,67,No,Closed,No,,
BD-3083,2025-10-22T13:15:00,MC-02-006,CELL-02,TECH-02,C (22:00-06:00),Hydraulic,Cycle time increased,Seal kit damaged,Replaced / rectified and trial taken,2025-10-22T13:35:00,2025-10-22T13:54:00,2025-10-22T14:42:00,20,48,87,Yes,Closed,No,,
BD-3084,2026-02-10T17:00:00,MC-05-019,CELL-05,TECH-02,C (22:00-06:00),Electrical,Panel tripping on overload,Steam trap blocked,Replaced / rectified and trial taken,2026-02-10T17:25:00,2026-02-10T17:45:00,2026-02-10T22:53:00,25,308,353,No,Closed,No,,
BD-3085,2025-09-20T08:00:00,MC-04-016,CELL-04,TECH-05,B (14:00-22:00),Mechanical,Cycle time increased,Cable continuity broken,Replaced / rectified and trial taken,2025-09-20T08:17:00,2025-09-20T08:26:00,2025-09-20T08:56:00,17,30,56,Yes,Closed,No,,
BD-3086,2025-11-30T16:00:00,MC-03-011,CELL-03,TECH-06,A (06:00-14:00),Mechanical,Steam pressure not building,Belt slipping,Replaced / rectified and trial taken,2025-11-30T16:04:00,2025-11-30T16:10:00,2025-11-30T21:30:00,4,320,330,Yes,Closed,No,,
BD-3087,2026-08-06T18:00:00,MC-06-023,CELL-06,TECH-02,A (06:00-14:00),Utility,Product jam at station,Solenoid valve stuck,Replaced / rectified and trial taken,2026-08-06T18:24:00,2026-08-06T18:35:00,2026-08-06T21:40:00,24,185,220,No,Closed,No,,
