Task_ID,WO_No,Machine_ID,Cell_ID,Assigned_Tech_ID,Task_Status,Scan_Start_Time,Scan_End_Time,Duration_Min,Checklist_Response_ID,NOT_OK_Count,Abnormality_Raised,Spare_Used_Flag,Completed_By,Completion_Date,Skip_Reason
TSK-5016,WO-1004,MC-04-016,CELL-04,TECH-01,Completed,2025-10-03T10:50:00,2025-10-03T12:37:00,107,CR-90094,1,No,No,TECH-01,2025-10-03,
TSK-5017,WO-1005,MC-05-017,CELL-05,TECH-06,Completed,2025-10-16T07:17:00,2025-10-16T09:10:00,113,CR-90099,1,No,No,TECH-06,2025-10-16,
TSK-5018,WO-1005,MC-05-018,CELL-05,TECH-03,Completed,2025-10-16T08:15:00,2025-10-16T10:36:00,141,CR-90105,2,Yes,Yes,TECH-03,2025-10-16,
TSK-5019,WO-1005,MC-05-019,CELL-05,TECH-04,Completed,2025-10-16T09:20:00,2025-10-16T10:18:00,58,CR-90111,0,No,No,TECH-04,2025-10-16,
TSK-5020,WO-1005,MC-05-020,CELL-05,TECH-05,Completed,2025-10-16T10:44:00,2025-10-16T13:11:00,147,CR-90116,0,No,Yes,TECH-05,2025-10-16,
TSK-5021,WO-1006,MC-06-021,CELL-06,TECH-01,Completed,2025-10-23T07:18:00,2025-10-23T08:21:00,63,CR-90121,0,No,Yes,TECH-01,2025-10-23,
TSK-5022,WO-1006,MC-06-022,CELL-06,TECH-06,Completed,2025-10-23T08:37:00,2025-10-23T09:59:00,82,CR-90127,0,No,No,TECH-06,2025-10-23,
TSK-5023,WO-1006,MC-06-023,CELL-06,TECH-06,Completed,2025-10-23T09:29:00,2025-10-23T10:38:00,69,CR-90135,0,No,Yes,TECH-06,2025-10-23,
TSK-5024,WO-1006,MC-06-024,CELL-06,TECH-06,Completed,2025-10-23T10:12:00,2025-10-23T11:27:00,75,CR-90141,0,No,No,TECH-06,2025-10-23,
TSK-5025,WO-1007,MC-07-025,CELL-07,TECH-06,Completed,2025-10-27T07:34:00,2025-10-27T08:25:00,51,CR-90146,0,No,No,TECH-06,2025-10-27,
TSK-5026,WO-1007,MC-07-026,CELL-07,TECH-02,Completed,2025-10-27T08:40:00,2025-10-27T11:06:00,146,CR-90151,1,No,Yes,TECH-02,2025-10-27,
TSK-5027,WO-1007,MC-07-027,CELL-07,TECH-02,Completed,2025-10-27T09:03:00,2025-10-27T10:10:00,67,CR-90156,2,Yes,No,TECH-02,2025-10-27,
TSK-5028,WO-1008,MC-08-028,CELL-08,TECH-05,Pending,,,,,0,No,No,,,
TSK-5029,WO-1008,MC-08-029,CELL-08,TECH-02,Pending,,,,,0,No,No,,,
TSK-5030,WO-1008,MC-08-030,CELL-08,TECH-05,Pending,,,,,0,No,No,,,
TSK-5031,WO-1009,MC-01-001,CELL-01,TECH-03,Completed,2025-11-13T07:42:00,2025-11-13T08:27:00,45,CR-90161,0,No,Yes,TECH-03,2025-11-13,
TSK-5032,WO-1009,MC-01-002,CELL-01,TECH-05,Completed,2025-11-13T08:30:00,2025-11-13T09:42:00,72,CR-90169,0,No,Yes,TECH-05,2025-11-13,
TSK-5033,WO-1009,MC-01-003,CELL-01,TECH-01,Completed,2025-11-13T09:43:00,2025-11-13T10:47:00,64,CR-90173,2,Yes,No,TECH-01,2025-11-13,
TSK-5034,WO-1009,MC-01-004,CELL-01,TECH-04,Completed,2025-11-13T10:07:00,2025-11-13T11:51:00,104,CR-90179,0,No,Yes,TECH-04,2025-11-13,
TSK-5035,WO-1010,MC-02-005,CELL-02,TECH-06,Completed,2025-11-17T07:19:00,2025-11-17T09:23:00,124,CR-90185,0,No,Yes,TECH-06,2025-11-17,
TSK-5036,WO-1010,MC-02-006,CELL-02,TECH-04,Completed,2025-11-17T08:47:00,2025-11-17T10:03:00,76,CR-90191,0,No,Yes,TECH-04,2025-11-17,
TSK-5037,WO-1010,MC-02-007,CELL-02,TECH-02,Completed,2025-11-17T09:43:00,2025-11-17T12:05:00,142,CR-90197,1,No,No,TECH-02,2025-11-17,
TSK-5038,WO-1010,MC-02-008,CELL-02,TECH-06,Completed,2025-11-17T10:17:00,2025-11-17T12:05:00,108,CR-90203,0,No,No,TECH-06,2025-11-17,
TSK-5039,WO-1011,MC-03-009,CELL-03,TECH-03,Pending,,,,,0,No,No,,,
TSK-5040,WO-1011,MC-03-010,CELL-03,TECH-03,Pending,,,,,0,No,No,,,
TSK-5041,WO-1011,MC-03-011,CELL-03,TECH-06,Pending,,,,,0,No,No,,,
TSK-5042,WO-1011,MC-03-012,CELL-03,TECH-01,Pending,,,,,0,No,No,,,
TSK-5043,WO-1012,MC-04-013,CELL-04,TECH-03,Completed,2025-12-06T07:20:00,2025-12-06T08:09:00,49,CR-90207,3,Yes,No,TECH-03,2025-12-06,
TSK-5044,WO-1012,MC-04-014,CELL-04,TECH-01,Completed,2025-12-06T08:13:00,2025-12-06T09:22:00,69,CR-90214,0,No,No,TECH-01,2025-12-06,
TSK-5045,WO-1012,MC-04-015,CELL-04,TECH-06,Completed,2025-12-06T09:38:00,2025-12-06T11:55:00,137,CR-90221,0,No,Yes,TECH-06,2025-12-06,
TSK-5046,WO-1012,MC-04-016,CELL-04,TECH-01,Completed,2025-12-06T10:14:00,2025-12-06T12:36:00,142,CR-90227,2,Yes,No,TECH-01,2025-12-06,
TSK-5047,WO-1013,MC-05-017,CELL-05,TECH-04,Completed,2025-12-13T07:21:00,2025-12-13T09:36:00,135,CR-90232,0,No,No,TECH-04,2025-12-13,
TSK-5048,WO-1013,MC-05-018,CELL-05,TECH-05,Completed,2025-12-13T08:37:00,2025-12-13T10:36:00,119,CR-90238,0,No,Yes,TECH-05,2025-12-13,
TSK-5049,WO-1013,MC-05-019,CELL-05,TECH-05,Completed,2025-12-13T09:48:00,2025-12-13T11:32:00,104,CR-90244,0,No,No,TECH-05,2025-12-13,
TSK-5050,WO-1013,MC-05-020,CELL-05,TECH-02,Completed,2025-12-13T10:36:00,2025-12-13T12:00:00,84,CR-90249,0,No,No,TECH-02,2025-12-13,
TSK-5051,WO-1014,MC-06-021,CELL-06,TECH-05,Pending,,,,,0,No,No,,,
TSK-5052,WO-1014,MC-06-022,CELL-06,TECH-03,Pending,,,,,0,No,No,,,
TSK-5053,WO-1014,MC-06-023,CELL-06,TECH-01,Pending,,,,,0,No,No,,,
TSK-5054,WO-1014,MC-06-024,CELL-06,TECH-04,Pending,,,,,0,No,No,,,
TSK-5055,WO-1015,MC-07-025,CELL-07,TECH-04,Completed,2025-12-30T07:41:00,2025-12-30T08:26:00,45,CR-90254,1,No,No,TECH-04,2025-12-30,
TSK-5056,WO-1015,MC-07-026,CELL-07,TECH-04,Completed,2025-12-30T08:34:00,2025-12-30T09:13:00,39,CR-90259,0,No,Yes,TECH-04,2025-12-30,
TSK-5057,WO-1015,MC-07-027,CELL-07,TECH-02,Completed,2025-12-30T09:47:00,2025-12-30T10:33:00,46,CR-90264,0,No,Yes,TECH-02,2025-12-30,
TSK-5058,WO-1016,MC-08-028,CELL-08,TECH-05,Completed,2026-01-01T07:43:00,2026-01-01T09:59:00,136,CR-90269,0,No,Yes,TECH-05,2026-01-01,
TSK-5059,WO-1016,MC-08-029,CELL-08,TECH-05,Completed,2026-01-01T08:24:00,2026-01-01T10:18:00,114,CR-90275,1,No,No,TECH-05,2026-01-01,
TSK-5060,WO-1016,MC-08-030,CELL-08,TECH-04,Completed,2026-01-01T09:40:00,2026-01-01T10:47:00,67,CR-90281,0,No,No,TECH-04,2026-01-01,
TSK-5061,WO-1017,MC-01-001,CELL-01,TECH-06,Completed,2026-01-09T07:16:00,2026-01-09T08:49:00,93,CR-90287,1,No,Yes,TECH-06,2026-01-09,
TSK-5062,WO-1017,MC-01-002,CELL-01,TECH-03,Completed,2026-01-09T08:44:00,2026-01-09T09:56:00,72,CR-90295,0,No,No,TECH-03,2026-01-09,
TSK-5063,WO-1017,MC-01-003,CELL-01,TECH-06,Completed,2026-01-09T09:49:00,2026-01-09T11:59:00,130,CR-90299,3,Yes,No,TECH-06,2026-01-09,
TSK-5064,WO-1017,MC-01-004,CELL-01,TECH-02,Completed,2026-01-09T10:40:00,2026-01-09T11:39:00,59,CR-90305,0,No,No,TECH-02,2026-01-09,
TSK-5065,WO-1018,MC-02-005,CELL-02,TECH-01,Completed,2026-01-19T07:37:00,2026-01-19T08:58:00,81,CR-90311,1,No,Yes,TECH-01,2026-01-19,
TSK-5066,WO-1018,MC-02-006,CELL-02,TECH-03,Completed,2026-01-19T08:33:00,2026-01-19T10:12:00,99,CR-90317,2,Yes,No,TECH-03,2026-01-19,
TSK-5067,WO-1018,MC-02-007,CELL-02,TECH-03,Completed,2026-01-19T09:07:00,2026-01-19T10:41:00,94,CR-90323,3,Yes,Yes,TECH-03,2026-01-19,
TSK-5068,WO-1018,MC-02-008,CELL-02,TECH-01,Completed,2026-01-19T10:29:00,2026-01-19T11:51:00,82,CR-90329,1,No,No,TECH-01,2026-01-19,
TSK-5069,WO-1019,MC-03-009,CELL-03,TECH-04,Completed,2026-01-22T07:07:00,2026-01-22T07:59:00,52,CR-90333,0,No,Yes,TECH-04,2026-01-22,
TSK-5070,WO-1019,MC-03-010,CELL-03,TECH-05,Completed,2026-01-22T08:08:00,2026-01-22T09:32:00,84,CR-90341,0,No,No,TECH-05,2026-01-22,
TSK-5071,WO-1019,MC-03-011,CELL-03,TECH-06,Completed,2026-01-22T09:44:00,2026-01-22T11:28:00,104,CR-90347,0,No,No,TECH-06,2026-01-22,
TSK-5072,WO-1019,MC-03-012,CELL-03,TECH-04,Completed,2026-01-22T10:39:00,2026-01-22T12:06:00,87,CR-90355,2,Yes,Yes,TECH-04,2026-01-22,
TSK-5073,WO-1020,MC-04-013,CELL-04,TECH-06,Completed,2026-02-03T07:38:00,2026-02-03T08:15:00,37,CR-90360,0,No,No,TECH-06,2026-02-03,
TSK-5074,WO-1020,MC-04-014,CELL-04,TECH-05,Completed,2026-02-03T08:13:00,2026-02-03T10:03:00,110,CR-90367,0,No,No,TECH-05,2026-02-03,
TSK-5075,WO-1020,MC-04-015,CELL-04,TECH-01,Completed,2026-02-03T09:17:00,2026-02-03T11:41:00,144,CR-90374,3,Yes,No,TECH-01,2026-02-03,
TSK-5076,WO-1020,MC-04-016,CELL-04,TECH-05,Completed,2026-02-03T10:20:00,2026-02-03T10:57:00,37,CR-90380,0,No,Yes,TECH-05,2026-02-03,
TSK-5077,WO-1021,MC-05-017,CELL-05,TECH-06,Completed,2026-02-12T07:33:00,2026-02-12T08:46:00,73,CR-90385,0,No,No,TECH-06,2026-02-12,
TSK-5078,WO-1021,MC-05-018,CELL-05,TECH-04,Completed,2026-02-12T08:27:00,2026-02-12T10:29:00,122,CR-90391,0,No,No,TECH-04,2026-02-12,
TSK-5079,WO-1021,MC-05-019,CELL-05,TECH-03,Completed,2026-02-12T09:38:00,2026-02-12T10:31:00,53,CR-90397,0,No,Yes,TECH-03,2026-02-12,
TSK-5080,WO-1021,MC-05-020,CELL-05,TECH-03,Completed,2026-02-12T10:24:00,2026-02-12T12:15:00,111,CR-90402,0,No,No,TECH-03,2026-02-12,
TSK-5081,WO-1022,MC-06-021,CELL-06,TECH-04,Completed,2026-02-23T07:25:00,2026-02-23T08:53:00,88,CR-90407,1,No,No,TECH-04,2026-02-23,
TSK-5082,WO-1022,MC-06-022,CELL-06,TECH-03,Completed,2026-02-23T08:09:00,2026-02-23T10:11:00,122,CR-90413,2,Yes,Yes,TECH-03,2026-02-23,
TSK-5083,WO-1022,MC-06-023,CELL-06,TECH-05,Completed,2026-02-23T09:35:00,2026-02-23T10:52:00,77,CR-90421,1,No,No,TECH-05,2026-02-23,
TSK-5084,WO-1022,MC-06-024,CELL-06,TECH-04,Completed,2026-02-23T10:46:00,2026-02-23T11:27:00,41,CR-90427,3,Yes,No,TECH-04,2026-02-23,
TSK-5085,WO-1023,MC-07-025,CELL-07,TECH-06,Completed,2026-02-20T07:17:00,2026-02-20T07:55:00,38,CR-90432,0,No,No,TECH-06,2026-02-20,
TSK-5086,WO-1023,MC-07-026,CELL-07,TECH-01,Completed,2026-02-20T08:11:00,2026-02-20T10:37:00,146,CR-90437,0,No,No,TECH-01,2026-02-20,
TSK-5087,WO-1023,MC-07-027,CELL-07,TECH-01,Completed,2026-02-20T09:05:00,2026-02-20T11:15:00,130,CR-90442,0,No,No,TECH-01,2026-02-20,
TSK-5088,WO-1024,MC-08-028,CELL-08,TECH-04,Completed,2026-03-01T07:31:00,2026-03-01T09:23:00,112,CR-90447,0,No,Yes,TECH-04,2026-03-01,
TSK-5089,WO-1024,MC-08-029,CELL-08,TECH-05,Completed,2026-03-01T08:07:00,2026-03-01T09:26:00,79,CR-90453,0,No,Yes,TECH-05,2026-03-01,
TSK-5090,WO-1024,MC-08-030,CELL-08,TECH-06,Completed,2026-03-01T09:37:00,2026-03-01T11:14:00,97,CR-90459,0,No,No,TECH-06,2026-03-01,
TSK-5091,WO-1025,MC-01-001,CELL-01,TECH-04,Completed,2026-03-12T07:47:00,2026-03-12T09:17:00,90,CR-90465,0,No,No,TECH-04,2026-03-12,
TSK-5092,WO-1025,MC-01-002,CELL-01,TECH-03,Completed,2026-03-12T08:04:00,2026-03-12T09:29:00,85,CR-90473,1,No,Yes,TECH-03,2026-03-12,
TSK-5093,WO-1025,MC-01-003,CELL-01,TECH-04,Completed,2026-03-12T09:36:00,2026-03-12T11:02:00,86,CR-90477,1,No,No,TECH-04,2026-03-12,
TSK-5094,WO-1025,MC-01-004,CELL-01,TECH-03,Completed,2026-03-12T10:10:00,2026-03-12T12:27:00,137,CR-90483,2,Yes,No,TECH-03,2026-03-12,
TSK-5095,WO-1026,MC-02-005,CELL-02,TECH-06,Completed,2026-03-21T07:07:00,2026-03-21T08:49:00,102,CR-90489,0,No,No,TECH-06,2026-03-21,
TSK-5096,WO-1026,MC-02-006,CELL-02,TECH-02,Completed,2026-03-21T08:15:00,2026-03-21T09:03:00,48,CR-90495,0,No,Yes,TECH-02,2026-03-21,
TSK-5097,WO-1026,MC-02-007,CELL-02,TECH-05,Completed,2026-03-21T09:09:00,2026-03-21T11:21:00,132,CR-90501,1,No,Yes,TECH-05,2026-03-21,
TSK-5098,WO-1026,MC-02-008,CELL-02,TECH-05,Completed,2026-03-21T10:48:00,2026-03-21T12:37:00,109,CR-90507,0,No,No,TECH-05,2026-03-21,
TSK-5099,WO-1027,MC-03-009,CELL-03,TECH-03,Completed,2026-03-28T07:37:00,2026-03-28T08:19:00,42,CR-90511,0,No,Yes,TECH-03,2026-03-28,
TSK-5100,WO-1027,MC-03-010,CELL-03,TECH-03,Completed,2026-03-28T08:04:00,2026-03-28T10:01:00,117,CR-90519,1,No,No,TECH-03,2026-03-28,
TSK-5101,WO-1027,MC-03-011,CELL-03,TECH-04,Completed,2026-03-28T09:29:00,2026-03-28T11:18:00,109,CR-90525,0,No,No,TECH-04,2026-03-28,
TSK-5102,WO-1027,MC-03-012,CELL-03,TECH-06,Completed,2026-03-28T10:12:00,2026-03-28T11:28:00,76,CR-90533,0,No,No,TECH-06,2026-03-28,
TSK-5103,WO-1028,MC-04-013,CELL-04,TECH-05,Completed,2026-03-30T07:10:00,2026-03-30T08:31:00,81,CR-90538,0,No,Yes,TECH-05,2026-03-30,
TSK-5104,WO-1028,MC-04-014,CELL-04,TECH-06,Completed,2026-03-30T08:41:00,2026-03-30T09:58:00,77,CR-90545,0,No,Yes,TECH-06,2026-03-30,
TSK-5105,WO-1028,MC-04-015,CELL-04,TECH-06,Completed,2026-03-30T09:38:00,2026-03-30T12:04:00,146,CR-90552,0,No,Yes,TECH-06,2026-03-30,
TSK-5106,WO-1028,MC-04-016,CELL-04,TECH-03,Completed,2026-03-30T10:41:00,2026-03-30T12:45:00,124,CR-90558,1,No,Yes,TECH-03,2026-03-30,
TSK-5107,WO-1029,MC-05-017,CELL-05,TECH-03,Completed,2026-04-16T07:19:00,2026-04-16T08:17:00,58,CR-90563,2,Yes,No,TECH-03,2026-04-16,
TSK-5108,WO-1029,MC-05-018,CELL-05,TECH-01,Completed,2026-04-16T08:32:00,2026-04-16T10:45:00,133,CR-90569,0,No,No,TECH-01,2026-04-16,
TSK-5109,WO-1029,MC-05-019,CELL-05,TECH-05,Completed,2026-04-16T09:08:00,2026-04-16T10:59:00,111,CR-90575,0,No,Yes,TECH-05,2026-04-16,
TSK-5110,WO-1029,MC-05-020,CELL-05,TECH-02,Completed,2026-04-16T10:46:00,2026-04-16T12:17:00,91,CR-90580,0,No,No,TECH-02,2026-04-16,
TSK-5111,WO-1030,MC-06-021,CELL-06,TECH-04,Completed,2026-04-18T07:32:00,2026-04-18T09:14:00,102,CR-90585,0,No,Yes,TECH-04,2026-04-18,
TSK-5112,WO-1030,MC-06-022,CELL-06,TECH-02,Completed,2026-04-18T08:38:00,2026-04-18T09:30:00,52,CR-90591,1,No,Yes,TECH-02,2026-04-18,
TSK-5113,WO-1030,MC-06-023,CELL-06,TECH-01,Completed,2026-04-18T09:18:00,2026-04-18T10:03:00,45,CR-90599,1,No,Yes,TECH-01,2026-04-18,
TSK-5114,WO-1030,MC-06-024,CELL-06,TECH-04,Completed,2026-04-18T10:05:00,2026-04-18T11:08:00,63,CR-90605,1,No,No,TECH-04,2026-04-18,
TSK-5115,WO-1031,MC-07-025,CELL-07,TECH-04,Completed,2026-04-17T07:44:00,2026-04-17T10:05:00,141,CR-90610,0,No,No,TECH-04,2026-04-17,
TSK-5116,WO-1031,MC-07-026,CELL-07,TECH-01,Completed,2026-04-17T08:01:00,2026-04-17T09:08:00,67,CR-90615,0,No,Yes,TECH-01,2026-04-17,
TSK-5117,WO-1031,MC-07-027,CELL-07,TECH-04,Completed,2026-04-17T09:07:00,2026-04-17T11:21:00,134,CR-90620,0,No,No,TECH-04,2026-04-17,
TSK-5118,WO-1032,MC-08-028,CELL-08,TECH-04,Completed,2026-05-04T07:00:00,2026-05-04T08:53:00,113,CR-90625,0,No,No,TECH-04,2026-05-04,
TSK-5119,WO-1032,MC-08-029,CELL-08,TECH-02,Completed,2026-05-04T08:42:00,2026-05-04T10:42:00,120,CR-90631,0,No,No,TECH-02,2026-05-04,
TSK-5120,WO-1032,MC-08-030,CELL-08,TECH-01,Completed,2026-05-04T09:33:00,2026-05-04T11:17:00,104,CR-90637,0,No,No,TECH-01,2026-05-04,
TSK-5121,WO-1033,MC-01-001,CELL-01,TECH-06,Completed,2026-05-08T07:42:00,2026-05-08T09:37:00,115,CR-90643,0,No,No,TECH-06,2026-05-08,
TSK-5122,WO-1033,MC-01-002,CELL-01,TECH-03,Completed,2026-05-08T08:41:00,2026-05-08T09:38:00,57,CR-90651,1,No,No,TECH-03,2026-05-08,
TSK-5123,WO-1033,MC-01-003,CELL-01,TECH-04,Completed,2026-05-08T09:02:00,2026-05-08T10:14:00,72,CR-90655,0,No,No,TECH-04,2026-05-08,
TSK-5124,WO-1033,MC-01-004,CELL-01,TECH-01,Completed,2026-05-08T10:20:00,2026-05-08T11:34:00,74,CR-90661,0,No,No,TECH-01,2026-05-08,
TSK-5125,WO-1034,MC-02-005,CELL-02,TECH-03,Completed,2026-05-14T07:27:00,2026-05-14T09:55:00,148,CR-90667,0,No,No,TECH-03,2026-05-14,
TSK-5126,WO-1034,MC-02-006,CELL-02,TECH-06,Completed,2026-05-14T08:31:00,2026-05-14T09:53:00,82,CR-90673,2,Yes,No,TECH-06,2026-05-14,
TSK-5127,WO-1034,MC-02-007,CELL-02,TECH-02,Completed,2026-05-14T09:34:00,2026-05-14T10:46:00,72,CR-90679,0,No,Yes,TECH-02,2026-05-14,
TSK-5128,WO-1034,MC-02-008,CELL-02,TECH-06,Completed,2026-05-14T10:18:00,2026-05-14T11:32:00,74,CR-90685,0,No,No,TECH-06,2026-05-14,
TSK-5129,WO-1035,MC-03-009,CELL-03,TECH-03,Completed,2026-05-26T07:32:00,2026-05-26T09:49:00,137,CR-90689,1,No,Yes,TECH-03,2026-05-26,
TSK-5130,WO-1035,MC-03-010,CELL-03,TECH-01,Completed,2026-05-26T08:15:00,2026-05-26T10:29:00,134,CR-90697,0,No,No,TECH-01,2026-05-26,
TSK-5131,WO-1035,MC-03-011,CELL-03,TECH-05,Completed,2026-05-26T09:02:00,2026-05-26T10:54:00,112,CR-90703,0,No,No,TECH-05,2026-05-26,
TSK-5132,WO-1035,MC-03-012,CELL-03,TECH-02,Completed,2026-05-26T10:33:00,2026-05-26T11:54:00,81,CR-90711,0,No,No,TECH-02,2026-05-26,
TSK-5133,WO-1036,MC-04-013,CELL-04,TECH-05,Completed,2026-05-30T07:18:00,2026-05-30T09:21:00,123,CR-90716,2,Yes,No,TECH-05,2026-05-30,
TSK-5134,WO-1036,MC-04-014,CELL-04,TECH-06,Completed,2026-05-30T08:20:00,2026-05-30T10:20:00,120,CR-90723,0,No,Yes,TECH-06,2026-05-30,
TSK-5135,WO-1036,MC-04-015,CELL-04,TECH-06,Completed,2026-05-30T09:45:00,2026-05-30T11:49:00,124,CR-90730,0,No,No,TECH-06,2026-05-30,
TSK-5136,WO-1036,MC-04-016,CELL-04,TECH-02,Completed,2026-05-30T10:50:00,2026-05-30T11:42:00,52,CR-90736,0,No,No,TECH-02,2026-05-30,
TSK-5137,WO-1037,MC-05-017,CELL-05,TECH-01,Completed,2026-06-07T07:08:00,2026-06-07T08:23:00,75,CR-90741,0,No,No,TECH-01,2026-06-07,
TSK-5138,WO-1037,MC-05-018,CELL-05,TECH-05,Completed,2026-06-07T08:40:00,2026-06-07T10:30:00,110,CR-90747,0,No,No,TECH-05,2026-06-07,
TSK-5139,WO-1037,MC-05-019,CELL-05,TECH-01,Completed,2026-06-07T09:07:00,2026-06-07T10:48:00,101,CR-90753,0,No,Yes,TECH-01,2026-06-07,
TSK-5140,WO-1037,MC-05-020,CELL-05,TECH-03,Completed,2026-06-07T10:33:00,2026-06-07T13:02:00,149,CR-90758,0,No,Yes,TECH-03,2026-06-07,
TSK-5141,WO-1038,MC-06-021,CELL-06,TECH-06,Completed,2026-06-20T07:38:00,2026-06-20T08:56:00,78,CR-90763,1,No,No,TECH-06,2026-06-20,
TSK-5142,WO-1038,MC-06-022,CELL-06,TECH-06,Completed,2026-06-20T08:49:00,2026-06-20T10:37:00,108,CR-90769,0,No,Yes,TECH-06,2026-06-20,
TSK-5143,WO-1038,MC-06-023,CELL-06,TECH-06,Completed,2026-06-20T09:34:00,2026-06-20T10:46:00,72,CR-90777,0,No,No,TECH-06,2026-06-20,
TSK-5144,WO-1038,MC-06-024,CELL-06,TECH-02,Completed,2026-06-20T10:43:00,2026-06-20T12:09:00,86,CR-90783,0,No,Yes,TECH-02,2026-06-20,
TSK-5145,WO-1039,MC-07-025,CELL-07,TECH-05,Completed,2026-06-22T07:35:00,2026-06-22T08:23:00,48,CR-90788,0,No,No,TECH-05,2026-06-22,
TSK-5146,WO-1039,MC-07-026,CELL-07,TECH-01,Completed,2026-06-22T08:03:00,2026-06-22T09:15:00,72,CR-90793,2,Yes,No,TECH-01,2026-06-22,
TSK-5147,WO-1039,MC-07-027,CELL-07,TECH-06,Completed,2026-06-22T09:20:00,2026-06-22T10:19:00,59,CR-90798,1,No,No,TECH-06,2026-06-22,
TSK-5148,WO-1040,MC-08-028,CELL-08,TECH-06,Completed,2026-06-28T07:43:00,2026-06-28T09:18:00,95,CR-90803,0,No,Yes,TECH-06,2026-06-28,
TSK-5149,WO-1040,MC-08-029,CELL-08,TECH-01,Completed,2026-06-28T08:27:00,2026-06-28T09:19:00,52,CR-90809,1,No,No,TECH-01,2026-06-28,
TSK-5150,WO-1040,MC-08-030,CELL-08,TECH-04,Completed,2026-06-28T09:03:00,2026-06-28T10:50:00,107,CR-90815,0,No,No,TECH-04,2026-06-28,
TSK-5151,WO-1041,MC-01-001,CELL-01,TECH-03,Completed,2026-07-07T07:35:00,2026-07-07T08:56:00,81,CR-90821,1,No,Yes,TECH-03,2026-07-07,
TSK-5152,WO-1041,MC-01-002,CELL-01,TECH-04,Completed,2026-07-07T08:33:00,2026-07-07T10:06:00,93,CR-90829,0,No,No,TECH-04,2026-07-07,
TSK-5153,WO-1041,MC-01-003,CELL-01,TECH-03,Completed,2026-07-07T09:10:00,2026-07-07T10:35:00,85,CR-90833,3,Yes,No,TECH-03,2026-07-07,
TSK-5154,WO-1041,MC-01-004,CELL-01,TECH-05,Completed,2026-07-07T10:19:00,2026-07-07T11:54:00,95,CR-90839,1,No,No,TECH-05,2026-07-07,
TSK-5155,WO-1042,MC-02-005,CELL-02,TECH-04,Completed,2026-07-10T07:10:00,2026-07-10T08:52:00,102,CR-90845,0,No,No,TECH-04,2026-07-10,
