AbnormalityID,Source,SourceRefID,MachineID,MachineName,CellID,CellName,Area,Category,Severity,Description,ReportedByTechID,ReportedByName,ReportedDate,Status,ClosedDate,CorrectiveAction,OwnerFunction,EscalationRequired,PhotoURL
ABN-00027,PM Checklist,WO-00098,MC-012,Gear Shaver GS-01,CELL-03,Gear Cutting Cell,Machine Shop,Abnormal noise,Low,Task 4: Work spindle bearing temperature - outside standard (<= 60 deg C),TECH-02,Suresh Babu,2025-03-18,Closed,2025-03-20,Corrective action completed and verified,Production,No,/sites/PMSystem/Photos/MC-012_27.jpg
ABN-00195,QR Walk-by,,MC-006,CNC Lathe TL-04,CELL-02,CNC Turning Line B,Machine Shop,Oil / coolant leak,High,Observed during shop floor round - logged via machine QR,TECH-08,Karthik V,2025-03-30,Closed,2025-04-11,Rectified during next available window,Production,Yes,/sites/PMSystem/Photos/MC-006_195.jpg
ABN-00173,QR Walk-by,,MC-009,VMC MC-02,CELL-02,CNC Turning Line B,Machine Shop,Wiring / cable damage,Low,Observed during shop floor round - logged via machine QR,TECH-06,Deepak Nair,2025-04-03,Closed,2025-04-22,Rectified during next available window,Production,No,/sites/PMSystem/Photos/MC-009_173.jpg
ABN-00180,QR Walk-by,,MC-016,Tempering Furnace TF-01,CELL-04,Heat Treatment,Heat Treat,Loose / missing fastener,Low,Observed during shop floor round - logged via machine QR,TECH-01,Arun Kumar,2025-04-04,Closed,2025-04-12,Rectified during next available window,Production,No,/sites/PMSystem/Photos/MC-016_180.jpg
ABN-00146,QR Walk-by,,MC-017,Quench Oil Chiller CH-01,CELL-04,Heat Treatment,Heat Treat,Damaged guard or cover,Low,Observed during shop floor round - logged via machine QR,TECH-02,Suresh Babu,2025-04-06,Closed,2025-04-28,Rectified during next available window,Safety,No,/sites/PMSystem/Photos/MC-017_146.jpg
ABN-00191,QR Walk-by,,MC-010,Gear Hobber GH-01,CELL-03,Gear Cutting Cell,Machine Shop,Loose / missing fastener,Low,Observed during shop floor round - logged via machine QR,TECH-02,Suresh Babu,2025-04-07,Closed,2025-05-07,Rectified during next available window,Production,No,/sites/PMSystem/Photos/MC-010_191.jpg
ABN-00085,QR Walk-by,,MC-020,Assembly Stn AS-02,CELL-05,Assembly Line 1,Assembly,Abnormal noise,Low,Observed during shop floor round - logged via machine QR,TECH-01,Arun Kumar,2025-04-09,Closed,2025-04-19,Rectified during next available window,Production,No,/sites/PMSystem/Photos/MC-020_85.jpg
ABN-00130,QR Walk-by,,MC-007,CNC Lathe TL-05,CELL-02,CNC Turning Line B,Machine Shop,Air leak,High,Observed during shop floor round - logged via machine QR,TECH-06,Deepak Nair,2025-04-14,Closed,2025-05-17,Rectified during next available window,Safety,Yes,/sites/PMSystem/Photos/MC-007_130.jpg
ABN-00055,PM Checklist,WO-00192,MC-021,Assembly Stn AS-03,CELL-05,Assembly Line 1,Assembly,Abnormal noise,Medium,Task 6: Fixture clamp wear and repeatability - outside standard (<= 0.05 mm),TECH-07,Ramesh Chandran,2025-04-16,Closed,2025-04-26,Corrective action completed and verified,Maintenance,No,/sites/PMSystem/Photos/MC-021_55.jpg
ABN-00143,QR Walk-by,,MC-003,CNC Lathe TL-03,CELL-01,CNC Turning Line A,Machine Shop,Damaged guard or cover,Low,Observed during shop floor round - logged via machine QR,TECH-02,Suresh Babu,2025-04-17,Closed,2025-05-26,Rectified during next available window,Production,No,/sites/PMSystem/Photos/MC-003_143.jpg
ABN-00100,QR Walk-by,,MC-002,CNC Lathe TL-02,CELL-01,CNC Turning Line A,Machine Shop,Abnormal noise,Low,Observed during shop floor round - logged via machine QR,TECH-02,Suresh Babu,2025-04-19,Closed,2025-05-22,Rectified during next available window,Safety,No,/sites/PMSystem/Photos/MC-002_100.jpg
ABN-00005,PM Checklist,WO-00014,MC-004,Bar Feeder BF-01,CELL-01,CNC Turning Line A,Machine Shop,Overheating,Medium,Task 6: Air / oil filter condition - outside standard (Clean or replace),TECH-03,Mohammed Rafi,2025-04-23,Closed,2025-05-02,Corrective action completed and verified,Maintenance,No,/sites/PMSystem/Photos/MC-004_5.jpg
ABN-00056,PM Checklist,WO-00194,MC-023,Assy Conveyor CV-01,CELL-05,Assembly Line 1,Assembly,Overheating,High,"Task 9: Electrical panel cleaning and terminal tightness - outside standard (No dust, no loose lug)",TECH-07,Ramesh Chandran,2025-04-24,Closed,2025-05-21,Corrective action completed and verified,Safety,Yes,/sites/PMSystem/Photos/MC-023_56.jpg
ABN-00159,QR Walk-by,,MC-029,Positioner PZ-01,CELL-07,Robotic Welding Bay,Fabrication,Safety device bypassed,Low,Observed during shop floor round - logged via machine QR,TECH-03,Mohammed Rafi,2025-04-25,Closed,2025-06-02,Rectified during next available window,Production,No,/sites/PMSystem/Photos/MC-029_159.jpg
ABN-00192,QR Walk-by,,MC-006,CNC Lathe TL-04,CELL-02,CNC Turning Line B,Machine Shop,Overheating,Medium,Observed during shop floor round - logged via machine QR,TECH-05,Prakash R,2025-04-25,Open,,,Production,No,/sites/PMSystem/Photos/MC-006_192.jpg
ABN-00123,QR Walk-by,,MC-031,Hyd Press HP-01,CELL-08,Press Shop,Fabrication,Wiring / cable damage,Low,Observed during shop floor round - logged via machine QR,TECH-01,Arun Kumar,2025-04-27,Closed,2025-05-14,Rectified during next available window,Production,No,/sites/PMSystem/Photos/MC-031_123.jpg
ABN-00106,QR Walk-by,,MC-033,Press Feeder PF-01,CELL-08,Press Shop,Fabrication,Safety device bypassed,Medium,Observed during shop floor round - logged via machine QR,TECH-08,Karthik V,2025-04-28,Closed,2025-05-05,Rectified during next available window,Maintenance,No,/sites/PMSystem/Photos/MC-033_106.jpg
ABN-00101,QR Walk-by,,MC-004,Bar Feeder BF-01,CELL-01,CNC Turning Line A,Machine Shop,Loose / missing fastener,High,Observed during shop floor round - logged via machine QR,TECH-02,Suresh Babu,2025-05-04,Closed,2025-05-05,Rectified during next available window,Maintenance,Yes,/sites/PMSystem/Photos/MC-004_101.jpg
ABN-00176,QR Walk-by,,MC-011,Gear Hobber GH-02,CELL-03,Gear Cutting Cell,Machine Shop,Abnormal noise,Medium,Observed during shop floor round - logged via machine QR,TECH-08,Karthik V,2025-05-06,Open,,,Safety,No,/sites/PMSystem/Photos/MC-011_176.jpg
ABN-00194,QR Walk-by,,MC-007,CNC Lathe TL-05,CELL-02,CNC Turning Line B,Machine Shop,Damaged guard or cover,Low,Observed during shop floor round - logged via machine QR,TECH-05,Prakash R,2025-05-09,Closed,2025-05-26,Rectified during next available window,Safety,No,/sites/PMSystem/Photos/MC-007_194.jpg
ABN-00121,QR Walk-by,,MC-029,Positioner PZ-01,CELL-07,Robotic Welding Bay,Fabrication,Warning lamp / alarm active,High,Observed during shop floor round - logged via machine QR,TECH-05,Prakash R,2025-05-14,Closed,2025-05-25,Rectified during next available window,Production,Yes,/sites/PMSystem/Photos/MC-029_121.jpg
ABN-00038,PM Checklist,WO-00132,MC-016,Tempering Furnace TF-01,CELL-04,Heat Treatment,Heat Treat,Housekeeping / 5S issue,Low,Task 7: Atmosphere gas flow and carbon potential probe - outside standard (Probe mV stable),TECH-02,Suresh Babu,2025-05-15,Closed,2025-06-10,Corrective action completed and verified,Maintenance,No,/sites/PMSystem/Photos/MC-016_38.jpg
ABN-00177,QR Walk-by,,MC-032,Hyd Press HP-02,CELL-08,Press Shop,Fabrication,Abnormal vibration,Medium,Observed during shop floor round - logged via machine QR,TECH-03,Mohammed Rafi,2025-05-16,Closed,2025-06-08,Rectified during next available window,Maintenance,No,/sites/PMSystem/Photos/MC-032_177.jpg
ABN-00156,QR Walk-by,,MC-021,Assembly Stn AS-03,CELL-05,Assembly Line 1,Assembly,Safety device bypassed,Low,Observed during shop floor round - logged via machine QR,TECH-03,Mohammed Rafi,2025-05-20,Closed,2025-06-18,Rectified during next available window,Safety,No,/sites/PMSystem/Photos/MC-021_156.jpg
ABN-00209,QR Walk-by,,MC-023,Assy Conveyor CV-01,CELL-05,Assembly Line 1,Assembly,Warning lamp / alarm active,Low,Observed during shop floor round - logged via machine QR,TECH-05,Prakash R,2025-05-25,Closed,2025-06-07,Rectified during next available window,Production,No,/sites/PMSystem/Photos/MC-023_209.jpg
ABN-00110,QR Walk-by,,MC-020,Assembly Stn AS-02,CELL-05,Assembly Line 1,Assembly,Overheating,Medium,Observed during shop floor round - logged via machine QR,TECH-07,Ramesh Chandran,2025-05-30,Closed,2025-06-04,Rectified during next available window,Production,No,/sites/PMSystem/Photos/MC-020_110.jpg
ABN-00152,QR Walk-by,,MC-016,Tempering Furnace TF-01,CELL-04,Heat Treatment,Heat Treat,Loose / missing fastener,Medium,Observed during shop floor round - logged via machine QR,TECH-07,Ramesh Chandran,2025-05-31,Open,,,Maintenance,No,/sites/PMSystem/Photos/MC-016_152.jpg
ABN-00210,QR Walk-by,,MC-023,Assy Conveyor CV-01,CELL-05,Assembly Line 1,Assembly,Housekeeping / 5S issue,Medium,Observed during shop floor round - logged via machine QR,TECH-06,Deepak Nair,2025-06-05,Closed,2025-07-05,Rectified during next available window,Maintenance,No,/sites/PMSystem/Photos/MC-023_210.jpg
ABN-00165,QR Walk-by,,MC-009,VMC MC-02,CELL-02,CNC Turning Line B,Machine Shop,Warning lamp / alarm active,Low,Observed during shop floor round - logged via machine QR,TECH-05,Prakash R,2025-06-12,Closed,2025-06-25,Rectified during next available window,Production,No,/sites/PMSystem/Photos/MC-009_165.jpg
ABN-00126,QR Walk-by,,MC-007,CNC Lathe TL-05,CELL-02,CNC Turning Line B,Machine Shop,Abnormal noise,Medium,Observed during shop floor round - logged via machine QR,TECH-06,Deepak Nair,2025-06-15,Closed,2025-07-01,Rectified during next available window,Maintenance,No,/sites/PMSystem/Photos/MC-007_126.jpg
ABN-00096,QR Walk-by,,MC-008,VMC MC-01,CELL-02,CNC Turning Line B,Machine Shop,Abnormal noise,Medium,Observed during shop floor round - logged via machine QR,TECH-03,Mohammed Rafi,2025-06-26,Closed,2025-07-27,Rectified during next available window,Production,No,/sites/PMSystem/Photos/MC-008_96.jpg
ABN-00081,QR Walk-by,,MC-028,Robot Weld Cell RW-02,CELL-07,Robotic Welding Bay,Fabrication,Oil / coolant leak,Medium,Observed during shop floor round - logged via machine QR,TECH-02,Suresh Babu,2025-06-29,Closed,2025-07-13,Rectified during next available window,Production,No,/sites/PMSystem/Photos/MC-028_81.jpg
ABN-00039,PM Checklist,WO-00135,MC-014,Sealed Quench SQ-01,CELL-04,Heat Treatment,Heat Treat,Damaged guard or cover,Low,"Task 5: Quench oil level, temperature and condition - outside standard (Level OK, <= 80 deg C)",TECH-05,Prakash R,2025-07-05,Closed,2025-07-29,Corrective action completed and verified,Maintenance,No,/sites/PMSystem/Photos/MC-014_39.jpg
ABN-00148,QR Walk-by,,MC-029,Positioner PZ-01,CELL-07,Robotic Welding Bay,Fabrication,Corrosion / rust,Medium,Observed during shop floor round - logged via machine QR,TECH-08,Karthik V,2025-07-05,Closed,2025-07-29,Rectified during next available window,Safety,No,/sites/PMSystem/Photos/MC-029_148.jpg
ABN-00166,QR Walk-by,,MC-012,Gear Shaver GS-01,CELL-03,Gear Cutting Cell,Machine Shop,Overheating,Low,Observed during shop floor round - logged via machine QR,TECH-05,Prakash R,2025-07-05,Closed,2025-08-14,Rectified during next available window,Production,No,/sites/PMSystem/Photos/MC-012_166.jpg
ABN-00144,QR Walk-by,,MC-005,Chip Conveyor CC-01,CELL-01,CNC Turning Line A,Machine Shop,Wiring / cable damage,Low,Observed during shop floor round - logged via machine QR,TECH-02,Suresh Babu,2025-07-07,Closed,2025-07-16,Rectified during next available window,Maintenance,No,/sites/PMSystem/Photos/MC-005_144.jpg
ABN-00040,PM Checklist,WO-00136,MC-015,Sealed Quench SQ-02,CELL-04,Heat Treatment,Heat Treat,Damaged guard or cover,Medium,Task 10: Cooling water flow and chiller performance - outside standard (>= 60 L/min),TECH-02,Suresh Babu,2025-07-12,Closed,2025-08-10,Corrective action completed and verified,Maintenance,No,/sites/PMSystem/Photos/MC-015_40.jpg
ABN-00168,QR Walk-by,,MC-021,Assembly Stn AS-03,CELL-05,Assembly Line 1,Assembly,Warning lamp / alarm active,Low,Observed during shop floor round - logged via machine QR,TECH-07,Ramesh Chandran,2025-07-16,Closed,2025-08-24,Rectified during next available window,Production,No,/sites/PMSystem/Photos/MC-021_168.jpg
